2026-05-26_13-46-42: Training starting...
2026-05-26_13-46-42 Episode 0: New best reward 13.00, model saved.
2026-05-26_13-46-44 Episode 0: New best greedy reward 10.00, model saved.
2026-05-26_13-46-44 Episode 1: New best reward 22.00, model saved.
2026-05-26_13-46-45 Episode 5: New best reward 38.00, model saved.
2026-05-26_13-46-46 Episode 10: New best reward 66.00, model saved.
2026-05-26_13-46-54 Episode 145: New best reward 72.00, model saved.
2026-05-26_13-46-56 Episode 154: New best reward 85.00, model saved.
2026-05-26_13-46-57 Episode 160: New best reward 86.00, model saved.
2026-05-26_13-46-59 Episode 164: New best reward 118.00, model saved.
2026-05-26_13-47-00 Episode 165: New best reward 125.00, model saved.
2026-05-26_13-47-01 Episode 167: New best reward 155.00, model saved.
2026-05-26_13-47-05 Episode 178: New best reward 162.00, model saved.
2026-05-26_13-47-39 Episode 512: New best reward 266.00, model saved.
2026-05-26_13-47-43 Episode 516: New best reward 290.00, model saved.
2026-05-26_13-47-46 Episode 518: New best reward 366.00, model saved.
2026-05-26_13-47-53 Episode 523: New best reward 500.00, model saved.
