2026-05-22_13-20-57: Training starting...
2026-05-22_13-20-58Episode 0: New best reward -6.90, model saved.
2026-05-22_13-20-58Episode 2: New best reward -5.70, model saved.
2026-05-22_13-20-58Episode 14: New best reward -5.10, model saved.
2026-05-22_13-21-03Episode 152: New best reward -4.50, model saved.
2026-05-22_13-21-14Episode 494: New best reward -2.70, model saved.
2026-05-22_13-21-16Episode 562: New best reward 0.30, model saved.
2026-05-22_13-21-22Episode 746: New best reward 1.50, model saved.
2026-05-22_13-23-03Episode 3722: New best reward 2.70, model saved.
2026-05-22_13-23-03Episode 3734: New best reward 3.30, model saved.
2026-05-22_13-23-43Episode 4848: New best reward 3.90, model saved.
2026-05-22_13-25-23Episode 7667: New best reward 4.30, model saved.
2026-05-22_13-26-11Episode 8985: New best reward 4.60, model saved.
2026-05-22_13-27-09Episode 10542: New best reward 5.00, model saved.
2026-05-22_13-28-05Episode 11988: New best reward 6.20, model saved.
2026-05-22_13-31-17Episode 16865: New best reward 6.40, model saved.
2026-05-22_13-32-26Episode 18597: New best reward 8.40, model saved.
2026-05-22_13-32-31Episode 18708: New best reward 11.10, model saved.
