2026-05-29_16-00-48: Training starting...
Device: cuda
2026-05-29_16-00-49 Episode 0: New best reward -8.10, model saved.
2026-05-29_16-00-57 Episode 0: New best greedy reward 2.00, model saved.
2026-05-29_16-00-57 Episode 1: New best reward -6.90, model saved.
2026-05-29_16-00-59 Episode 5: New best reward -6.30, model saved.
2026-05-29_16-01-09 Episode 20: New best reward -5.10, model saved.
2026-05-29_16-02-28 Episode 155: New best reward -1.50, model saved.
2026-05-29_16-06-28 Episode 544: New best reward -0.90, model saved.
2026-05-29_16-08-10 Episode 704: New best reward 3.90, model saved.
2026-05-29_16-11-33 Episode 1000: New best greedy reward 3.90, model saved.
2026-05-29_16-37-39 Episode 3000: New best greedy reward 6.60, model saved.
2026-05-29_16-45-29 Episode 3506: New best reward 4.10, model saved.
2026-05-29_16-51-50 Episode 3891: New best reward 6.50, model saved.
2026-05-29_17-34-12 Episode 6188: New best reward 8.40, model saved.
2026-05-29_17-43-28 Episode 6626: New best reward 9.10, model saved.
2026-05-29_17-52-06 Episode 7013: New best reward 12.90, model saved.
2026-05-29_17-58-06 Episode 7272: New best reward 13.40, model saved.
2026-05-29_18-03-16 Episode 7489: New best reward 17.90, model saved.
2026-05-29_18-19-46 Episode 8141: New best reward 22.90, model saved.
2026-05-29_18-45-07 Episode 9000: New best greedy reward 15.10, model saved.
2026-05-29_18-46-30 Episode 9044: New best reward 36.70, model saved.
2026-05-29_19-14-36 Episode 9843: New best reward 38.70, model saved.
2026-05-29_19-20-50 Episode 10000: New best greedy reward 166.90, model saved.
2026-05-29_19-23-13 Episode 10054: New best reward 45.90, model saved.
2026-05-29_19-29-28 Episode 10168: New best reward 55.50, model saved.
2026-05-29_19-53-03 Episode 10647: New best reward 64.40, model saved.
2026-05-29_20-14-21 Episode 11000: New best greedy reward 1543.90, model saved.
2026-05-29_20-24-05 Episode 11149: New best reward 68.90, model saved.
2026-05-29_20-32-17 Episode 11240: New best reward 73.90, model saved.
2026-05-29_20-33-42 Episode 11249: New best reward 82.90, model saved.
2026-05-29_20-57-34 Episode 11556: New best reward 87.90, model saved.
2026-05-29_21-27-09 Episode 11872: New best reward 88.10, model saved.
2026-05-29_21-49-40 Episode 12066: New best reward 107.50, model saved.
2026-05-29_21-55-14 Episode 12117: New best reward 153.80, model saved.
2026-05-29_22-45-28 Episode 12464: New best reward 190.80, model saved.
2026-05-29_23-25-30 Episode 12664: New best reward 223.10, model saved.
2026-05-29_23-35-13 Episode 12704: New best reward 232.40, model saved.
2026-05-29_23-49-26 Episode 12742: New best reward 320.90, model saved.
2026-05-30_00-25-25 Episode 12851: New best reward 432.90, model saved.
2026-05-30_00-32-49 Episode 12866: New best reward 461.40, model saved.
2026-05-30_01-19-21 Episode 12983: New best reward 507.90, model saved.
2026-05-30_01-31-07 Episode 13011: New best reward 550.80, model saved.
2026-05-30_02-07-20 Episode 13078: New best reward 579.00, model saved.
2026-05-30_02-13-07 Episode 13087: New best reward 589.30, model saved.
2026-05-30_02-28-02 Episode 13110: New best reward 862.40, model saved.
2026-05-30_10-20-19 Episode 13874: New best reward 877.10, model saved.
2026-05-30_12-05-10 Episode 14027: New best reward 1086.40, model saved.
