2026-06-01_13-08-23: Training starting...
Device: cuda
2026-06-01_13-08-24 Episode 0: New best reward -8.70, training model saved.
2026-06-01_13-08-31 Episode 0: New best greedy reward 2.00, model saved.
2026-06-01_13-08-31 Episode 1: New best reward -8.10, training model saved.
2026-06-01_13-08-32 Episode 2: New best reward -6.30, training model saved.
2026-06-01_13-08-32 Episode 5: New best reward -5.70, training model saved.
2026-06-01_13-08-34 Episode 10: New best reward -5.10, training model saved.
2026-06-01_13-09-18 Episode 154: New best reward -4.50, training model saved.
2026-06-01_13-10-30 Episode 288: New best reward -2.10, training model saved.
2026-06-01_13-12-42 Episode 496: New best reward -0.30, training model saved.
2026-06-01_13-18-23 Episode 1000: New best greedy reward 3.90, model saved.
2026-06-01_13-26-16 Episode 1643: New best reward 3.30, training model saved.
2026-06-01_13-31-03 Episode 2000: New best greedy reward 4.30, model saved.
2026-06-01_13-31-38 Episode 2043: New best reward 3.90, training model saved.
2026-06-01_13-35-11 Episode 2303: New best reward 4.10, training model saved.
2026-06-01_13-49-37 Episode 3242: New best reward 4.40, training model saved.
2026-06-01_14-01-58 Episode 3951: New best reward 4.60, training model saved.
2026-06-01_14-02-55 Episode 4000: New best greedy reward 4.50, model saved.
2026-06-01_14-20-41 Episode 4916: New best reward 6.20, training model saved.
2026-06-01_14-30-49 Episode 5415: New best reward 6.30, training model saved.
2026-06-01_14-51-02 Episode 6364: New best reward 8.40, training model saved.
2026-06-01_15-05-37 Episode 7000: New best greedy reward 4.70, model saved.
2026-06-01_15-09-15 Episode 7159: New best reward 9.10, training model saved.
2026-06-01_15-10-22 Episode 7204: New best reward 10.70, training model saved.
2026-06-01_15-14-08 Episode 7356: New best reward 11.10, training model saved.
2026-06-01_15-19-19 Episode 7566: New best reward 11.20, training model saved.
2026-06-01_15-23-34 Episode 7736: New best reward 12.90, training model saved.
2026-06-01_15-27-42 Episode 7890: New best reward 13.80, training model saved.
2026-06-01_15-30-41 Episode 8000: New best greedy reward 6.00, model saved.
2026-06-01_15-32-53 Episode 8071: New best reward 14.00, training model saved.
2026-06-01_15-39-01 Episode 8284: New best reward 15.20, training model saved.
2026-06-01_15-40-59 Episode 8343: New best reward 23.40, training model saved.
2026-06-01_15-42-16 Episode 8387: New best reward 27.90, training model saved.
2026-06-01_16-03-04 Episode 9000: New best greedy reward 78.40, model saved.
2026-06-01_16-24-24 Episode 9617: New best reward 51.60, training model saved.
2026-06-01_17-14-45 Episode 10861: New best reward 80.90, training model saved.
2026-06-01_17-21-32 Episode 11000: New best greedy reward 208.90, model saved.
2026-06-01_17-49-39 Episode 11487: New best reward 110.90, training model saved.
2026-06-01_18-06-41 Episode 11703: New best reward 127.10, training model saved.
2026-06-01_18-37-03 Episode 12000: New best greedy reward 1244.90, model saved.
2026-06-01_19-08-35 Episode 12300: New best reward 152.90, training model saved.
2026-06-01_19-13-58 Episode 12339: New best reward 204.40, training model saved.
2026-06-01_20-10-55 Episode 12689: New best reward 241.90, training model saved.
2026-06-01_20-37-02 Episode 12800: New best reward 250.90, training model saved.
2026-06-01_20-59-02 Episode 12870: New best reward 281.20, training model saved.
2026-06-01_21-20-40 Episode 12932: New best reward 386.40, training model saved.
2026-06-01_21-35-22 Episode 12972: New best reward 470.40, training model saved.
2026-06-01_21-51-59 Episode 13006: New best reward 676.00, training model saved.
2026-06-01_22-11-43 Episode 13046: New best reward 708.40, training model saved.
2026-06-01_23-01-59 Episode 13120: New best reward 1236.50, training model saved.
2026-06-02_00-29-04 Episode 13211: New best reward 1423.60, training model saved.
2026-06-02_07-05-02 Episode 13560: New best reward 1898.40, training model saved.
