2026-05-24_00-13-31: Training starting...
2026-05-24_00-13-32Episode 0: New best reward -8.70, model saved.
2026-05-24_00-13-32Episode 0: New best greedy reward -8.70, model saved.
2026-05-24_00-13-32Episode 1: New best reward -8.10, model saved.
2026-05-24_00-13-33Episode 2: New best reward -6.30, model saved.
2026-05-24_00-13-34Episode 16: New best reward -5.70, model saved.
2026-05-24_00-13-36Episode 34: New best reward -5.10, model saved.
2026-05-24_00-13-40Episode 81: New best reward -0.30, model saved.
2026-05-24_00-13-56Episode 274: New best reward 2.70, model saved.
2026-05-24_00-14-41Episode 812: New best reward 3.30, model saved.
2026-05-24_00-14-58Episode 1011: New best reward 3.90, model saved.
2026-05-24_00-17-23Episode 2632: New best reward 4.00, model saved.
2026-05-24_00-17-38Episode 2797: New best reward 4.30, model saved.
2026-05-24_00-17-41Episode 2829: New best reward 4.80, model saved.
2026-05-24_00-18-15Episode 3191: New best reward 6.30, model saved.
2026-05-24_00-18-33Episode 3380: New best reward 6.40, model saved.
2026-05-24_00-19-18Episode 3854: New best reward 6.50, model saved.
2026-05-24_00-19-55Episode 4240: New best reward 8.40, model saved.
2026-05-24_00-29-38Episode 10000: New best greedy reward 3.90, model saved.
2026-05-24_00-56-52Episode 25149: New best reward 8.60, model saved.
2026-05-24_00-57-03Episode 25233: New best reward 10.70, model saved.
2026-05-24_00-57-13Episode 25309: New best reward 12.90, model saved.
2026-05-24_00-57-52Episode 25584: New best reward 18.40, model saved.
2026-05-24_00-58-28Episode 25806: New best reward 22.40, model saved.
2026-05-24_00-58-51Episode 25956: New best reward 24.80, model saved.
2026-05-24_00-59-16Episode 26098: New best reward 29.60, model saved.
2026-05-24_01-00-42Episode 26579: New best reward 40.90, model saved.
2026-05-24_01-01-36Episode 26882: New best reward 64.40, model saved.
2026-05-24_01-06-20Episode 28077: New best reward 68.90, model saved.
2026-05-24_01-06-50Episode 28172: New best reward 82.90, model saved.
2026-05-24_01-08-21Episode 28449: New best reward 90.80, model saved.
2026-05-24_01-11-33Episode 28999: New best reward 120.40, model saved.
2026-05-24_01-12-36Episode 29138: New best reward 169.80, model saved.
2026-05-24_01-19-03Episode 30000: New best greedy reward 162.40, model saved.
2026-05-24_01-24-53Episode 30739: New best reward 181.60, model saved.
2026-05-24_01-33-46Episode 31764: New best reward 209.50, model saved.
2026-05-24_01-38-38Episode 32212: New best reward 216.70, model saved.
2026-05-24_01-52-50Episode 33602: New best reward 236.90, model saved.
2026-05-24_01-58-28Episode 34060: New best reward 376.90, model saved.
2026-05-24_03-10-54Episode 40000: New best greedy reward 684.90, model saved.
2026-05-24_03-54-37Episode 43088: New best reward 401.60, model saved.
2026-05-24_05-06-03Episode 48093: New best reward 404.90, model saved.
2026-05-24_05-21-02Episode 49140: New best reward 491.20, model saved.
2026-05-24_08-58-48Episode 62958: New best reward 500.60, model saved.
