2026-05-27_22-18-58: Training starting...
2026-05-27_22-18-59 Episode 0: New best reward -6.90, model saved.
2026-05-27_22-19-07 Episode 0: New best greedy reward -9.30, model saved.
2026-05-27_22-19-09 Episode 4: New best reward -5.70, model saved.
2026-05-27_22-19-11 Episode 6: New best reward -3.30, model saved.
2026-05-27_22-22-09 Episode 243: New best reward -0.90, model saved.
2026-05-27_22-56-49 Episode 2635: New best reward 0.20, model saved.
2026-05-27_23-01-53 Episode 2933: New best reward 0.30, model saved.
2026-05-27_23-04-43 Episode 3098: New best reward 3.20, model saved.
2026-05-27_23-23-22 Episode 4131: New best reward 3.40, model saved.
2026-05-27_23-31-50 Episode 4568: New best reward 4.20, model saved.
2026-05-27_23-37-01 Episode 4830: New best reward 4.20, model saved.
2026-05-27_23-44-38 Episode 5203: New best reward 4.90, model saved.
2026-05-27_23-46-32 Episode 5291: New best reward 5.90, model saved.
2026-05-28_00-01-18 Episode 5988: New best reward 6.20, model saved.
2026-05-28_00-14-31 Episode 6576: New best reward 6.60, model saved.
2026-05-28_00-54-00 Episode 8177: New best reward 6.70, model saved.
2026-05-28_00-56-18 Episode 8259: New best reward 8.90, model saved.
2026-05-28_00-58-28 Episode 8339: New best reward 12.40, model saved.
2026-05-28_01-18-58 Episode 9010: New best reward 13.80, model saved.
2026-05-28_01-32-00 Episode 9379: New best reward 15.10, model saved.
2026-05-28_01-42-43 Episode 9659: New best reward 16.00, model saved.
2026-05-28_01-50-00 Episode 9837: New best reward 17.50, model saved.
2026-05-28_01-55-23 Episode 9949: New best reward 18.80, model saved.
2026-05-28_01-58-25 Episode 10000: New best greedy reward 200.80, model saved.
2026-05-28_02-11-41 Episode 10292: New best reward 31.90, model saved.
2026-05-28_02-50-05 Episode 11012: New best reward 40.00, model saved.
2026-05-28_04-27-56 Episode 12665: New best reward 43.00, model saved.
