2026-05-31_23-56-02: Training starting...
Device: cuda
2026-05-31_23-56-03 Episode 0: New best reward -7.50, training model saved.
2026-05-31_23-56-12 Episode 0: New best greedy reward 2.00, model saved.
2026-05-31_23-56-13 Episode 2: New best reward -6.90, training model saved.
2026-05-31_23-56-15 Episode 9: New best reward -6.30, training model saved.
2026-05-31_23-56-25 Episode 20: New best reward -3.90, training model saved.
2026-05-31_23-58-23 Episode 192: New best reward -3.30, training model saved.
2026-06-01_00-04-10 Episode 669: New best reward -2.10, training model saved.
2026-06-01_00-06-50 Episode 874: New best reward 0.30, training model saved.
2026-06-01_00-08-30 Episode 1000: New best greedy reward 3.90, model saved.
2026-06-01_00-18-53 Episode 1750: New best reward 1.50, training model saved.
2026-06-01_00-22-40 Episode 2005: New best reward 3.90, training model saved.
2026-06-01_01-06-30 Episode 4496: New best reward 4.10, training model saved.
2026-06-01_01-57-16 Episode 6831: New best reward 4.20, training model saved.
2026-06-01_01-58-14 Episode 6876: New best reward 4.70, training model saved.
2026-06-01_02-01-17 Episode 7000: New best greedy reward 4.20, model saved.
2026-06-01_02-02-07 Episode 7036: New best reward 4.90, training model saved.
2026-06-01_02-05-11 Episode 7165: New best reward 6.10, training model saved.
2026-06-01_02-06-18 Episode 7211: New best reward 6.20, training model saved.
2026-06-01_02-14-36 Episode 7554: New best reward 6.60, training model saved.
2026-06-01_02-17-13 Episode 7662: New best reward 6.70, training model saved.
2026-06-01_02-25-37 Episode 8000: New best greedy reward 4.80, model saved.
2026-06-01_02-56-27 Episode 9173: New best reward 8.40, training model saved.
2026-06-01_03-16-31 Episode 9899: New best reward 11.00, training model saved.
2026-06-01_03-33-54 Episode 10474: New best reward 11.20, training model saved.
2026-06-01_03-34-27 Episode 10487: New best reward 19.10, training model saved.
2026-06-01_03-47-31 Episode 10903: New best reward 22.40, training model saved.
2026-06-01_03-50-53 Episode 11000: New best greedy reward 8.40, model saved.
2026-06-01_04-10-19 Episode 11513: New best reward 28.00, training model saved.
2026-06-01_04-20-54 Episode 11765: New best reward 36.40, training model saved.
2026-06-01_04-26-38 Episode 11886: New best reward 37.60, training model saved.
2026-06-01_04-32-13 Episode 12000: New best greedy reward 15.80, model saved.
2026-06-01_04-41-33 Episode 12165: New best reward 40.90, training model saved.
2026-06-01_04-45-03 Episode 12229: New best reward 43.20, training model saved.
2026-06-01_05-05-19 Episode 12558: New best reward 55.80, training model saved.
2026-06-01_05-09-34 Episode 12617: New best reward 59.90, training model saved.
2026-06-01_05-16-52 Episode 12705: New best reward 64.60, training model saved.
2026-06-01_05-28-18 Episode 12853: New best reward 82.90, training model saved.
2026-06-01_05-39-25 Episode 12993: New best reward 88.70, training model saved.
2026-06-01_05-40-25 Episode 13000: New best greedy reward 110.90, model saved.
2026-06-01_05-54-49 Episode 13163: New best reward 90.30, training model saved.
2026-06-01_06-03-21 Episode 13238: New best reward 134.40, training model saved.
2026-06-01_06-07-29 Episode 13272: New best reward 154.10, training model saved.
2026-06-01_06-20-55 Episode 13382: New best reward 190.60, training model saved.
2026-06-01_07-35-30 Episode 13848: New best reward 292.90, training model saved.
2026-06-01_07-37-03 Episode 13852: New best reward 344.40, training model saved.
2026-06-01_08-08-05 Episode 13967: New best reward 361.20, training model saved.
2026-06-01_08-42-53 Episode 14073: New best reward 373.20, training model saved.
2026-06-01_09-02-24 Episode 14122: New best reward 433.40, training model saved.
2026-06-01_09-05-29 Episode 14127: New best reward 493.90, training model saved.
2026-06-01_09-26-08 Episode 14176: New best reward 720.50, training model saved.
2026-06-01_09-40-11 Episode 14203: New best reward 738.60, training model saved.
2026-06-01_10-05-40 Episode 14243: New best reward 761.00, training model saved.
2026-06-01_10-08-00 Episode 14244: New best reward 930.30, training model saved.
2026-06-01_10-18-08 Episode 14254: New best reward 1143.40, training model saved.
2026-06-01_10-46-06 Episode 14283: New best reward 1366.40, training model saved.
2026-06-01_11-08-09 Episode 14304: New best reward 1367.50, training model saved.
2026-06-01_15-57-58 Episode 14597: New best reward 2254.00, training model saved.
