2026-07-08_20-40-14: Training starting...
Device: cuda
2026-07-08_20-40-22 Episode 0: New best reward -8.10, training model saved.
2026-07-08_20-40-24 Episode 0: New best greedy reward 2.00, model saved.
2026-07-08_20-40-24 Episode 1: New best reward -5.70, training model saved.
2026-07-08_20-40-56 Episode 81: New best reward -1.50, training model saved.
2026-07-08_20-40-58 Episode 85: New best reward -0.30, training model saved.
2026-07-08_20-40-59 Episode 89: New best reward 0.90, training model saved.
2026-07-08_20-41-12 Episode 123: New best reward 3.90, training model saved.
2026-07-08_20-41-58 Episode 250: New best reward 4.00, training model saved.
2026-07-08_20-41-59 Episode 253: New best reward 4.20, training model saved.
2026-07-08_20-42-14 Episode 293: New best reward 4.30, training model saved.
2026-07-08_20-42-17 Episode 302: New best reward 8.40, training model saved.
2026-07-08_20-45-20 Episode 758: New best reward 9.10, training model saved.
2026-07-08_20-45-47 Episode 817: New best reward 10.90, training model saved.
2026-07-08_20-46-08 Episode 865: New best reward 11.30, training model saved.
2026-07-08_20-46-50 Episode 952: New best reward 12.90, training model saved.
2026-07-08_20-47-12 Episode 993: New best reward 22.40, training model saved.
2026-07-08_20-47-18 Episode 1000: New best greedy reward 8.40, model saved.
2026-07-08_20-48-22 Episode 1103: New best reward 27.90, training model saved.
2026-07-08_20-50-13 Episode 1268: New best reward 38.80, training model saved.
2026-07-08_20-51-27 Episode 1356: New best reward 40.90, training model saved.
2026-07-08_20-52-03 Episode 1391: New best reward 46.00, training model saved.
2026-07-08_20-53-58 Episode 1539: New best reward 64.40, training model saved.
2026-07-08_20-57-25 Episode 1763: New best reward 93.50, training model saved.
2026-07-08_21-01-31 Episode 2000: New best greedy reward 31.90, model saved.
2026-07-08_21-05-04 Episode 2134: New best reward 104.70, training model saved.
2026-07-08_21-05-54 Episode 2154: New best reward 174.40, training model saved.
2026-07-08_21-09-57 Episode 2269: New best reward 230.10, training model saved.
2026-07-08_21-11-28 Episode 2302: New best reward 236.90, training model saved.
2026-07-08_21-13-09 Episode 2333: New best reward 247.30, training model saved.
2026-07-08_21-16-03 Episode 2460: New best reward 272.40, training model saved.
2026-07-08_21-29-01 Episode 3000: New best greedy reward 40.90, model saved.
2026-07-08_21-59-01 Episode 4974: New best reward 313.00, training model saved.
2026-07-08_22-00-18 Episode 5000: New best greedy reward 157.90, model saved.
2026-07-09_14-35-41 Episode 85000: New best greedy reward 164.80, model saved.
2026-07-09_15-35-59 Episode 88304: New best reward 358.40, training model saved.
2026-07-09_16-03-20 Episode 89795: New best reward 374.70, training model saved.
2026-07-09_16-18-04 Episode 90126: New best reward 398.80, training model saved.
2026-07-09_16-20-18 Episode 90160: New best reward 488.90, training model saved.
2026-07-09_18-32-12 Episode 95217: New best reward 549.90, training model saved.
2026-07-09_20-29-55 Episode 99049: New best reward 645.10, training model saved.
