2026-08-07_14-01-43: Training starting...
Device: cuda
2026-08-07_14-01-50 Episode 0: New best reward -8.10, training model saved.
2026-08-07_14-01-52 Episode 0: New best greedy reward 2.00, model saved.
2026-08-07_14-01-53 Episode 1: New best reward -5.70, training model saved.
2026-08-07_14-02-16 Episode 63: New best reward -5.10, training model saved.
2026-08-07_14-02-23 Episode 81: New best reward -1.50, training model saved.
2026-08-07_14-02-24 Episode 85: New best reward 0.30, training model saved.
2026-08-07_14-02-25 Episode 89: New best reward 2.10, training model saved.
2026-08-07_14-02-38 Episode 123: New best reward 3.90, training model saved.
2026-08-07_14-02-51 Episode 162: New best reward 4.00, training model saved.
2026-08-07_14-03-16 Episode 230: New best reward 4.20, training model saved.
2026-08-07_14-03-23 Episode 250: New best reward 4.50, training model saved.
2026-08-07_14-03-26 Episode 260: New best reward 4.80, training model saved.
2026-08-07_14-03-36 Episode 287: New best reward 4.90, training model saved.
2026-08-07_14-03-42 Episode 304: New best reward 6.80, training model saved.
2026-08-07_14-03-54 Episode 335: New best reward 8.40, training model saved.
2026-08-07_14-04-41 Episode 453: New best reward 9.30, training model saved.
2026-08-07_14-05-01 Episode 499: New best reward 9.50, training model saved.
2026-08-07_14-06-36 Episode 729: New best reward 11.20, training model saved.
2026-08-07_14-06-39 Episode 735: New best reward 13.80, training model saved.
2026-08-07_14-07-17 Episode 817: New best reward 15.70, training model saved.
2026-08-07_14-07-45 Episode 870: New best reward 18.30, training model saved.
2026-08-07_14-08-09 Episode 909: New best reward 20.70, training model saved.
2026-08-07_14-08-13 Episode 915: New best reward 27.40, training model saved.
2026-08-07_14-08-28 Episode 936: New best reward 52.60, training model saved.
2026-08-07_14-09-03 Episode 972: New best reward 70.00, training model saved.
2026-08-07_14-09-31 Episode 1000: New best greedy reward 12.90, model saved.
2026-08-07_14-09-43 Episode 1010: New best reward 83.20, training model saved.
2026-08-07_14-11-45 Episode 1114: New best reward 225.70, training model saved.
2026-08-07_14-18-47 Episode 1413: New best reward 228.50, training model saved.
2026-08-07_14-24-11 Episode 1559: New best reward 334.90, training model saved.
2026-08-07_14-39-51 Episode 2000: New best greedy reward 92.40, model saved.
2026-08-07_14-41-02 Episode 2023: New best reward 388.60, training model saved.
2026-08-07_14-45-09 Episode 2127: New best reward 452.60, training model saved.
2026-08-07_14-55-40 Episode 2339: New best reward 459.30, training model saved.
2026-08-07_15-13-16 Episode 2655: New best reward 475.60, training model saved.
2026-08-07_15-36-56 Episode 2977: New best reward 633.90, training model saved.
2026-08-07_16-42-21 Episode 3892: New best reward 1228.80, training model saved.
2026-08-07_16-50-25 Episode 4000: New best greedy reward 143.90, model saved.
2026-08-07_19-46-06 Episode 5996: New best reward 1238.50, training model saved.
2026-08-07_21-03-23 Episode 6691: New best reward 1260.00, training model saved.
2026-08-07_21-29-45 Episode 7000: New best greedy reward 550.10, model saved.
2026-08-07_22-20-34 Episode 7412: New best reward 1940.40, training model saved.
2026-08-08_02-06-37 Episode 9000: New best greedy reward 1208.80, model saved.
2026-08-08_07-01-24 Episode 11000: New best greedy reward 2000.90, model saved.
