2026-06-21_13-33-34: Training starting...
Device: cuda
2026-06-21_13-33-41 Episode 0: New best reward 3.90, training model saved.
2026-06-21_13-33-44 Episode 0: New best greedy reward 2.00, model saved.
2026-06-21_13-33-45 Episode 3: New best reward 4.90, training model saved.
2026-06-21_13-33-49 Episode 10: New best reward 8.90, training model saved.
2026-06-21_13-38-42 Episode 640: New best reward 10.80, training model saved.
2026-06-21_13-47-18 Episode 1662: New best reward 12.90, training model saved.
2026-06-21_13-48-24 Episode 1726: New best reward 17.90, training model saved.
2026-06-21_13-52-53 Episode 2000: New best greedy reward 3.90, model saved.
2026-06-21_13-57-04 Episode 2246: New best reward 23.30, training model saved.
2026-06-21_14-06-41 Episode 2773: New best reward 45.90, training model saved.
2026-06-21_14-11-13 Episode 3000: New best greedy reward 6.70, model saved.
2026-06-21_14-29-33 Episode 3874: New best reward 73.90, training model saved.
2026-06-21_14-37-03 Episode 4044: New best reward 148.40, training model saved.
2026-06-21_14-38-52 Episode 4053: New best reward 262.70, training model saved.
2026-06-21_14-47-17 Episode 4121: New best reward 272.60, training model saved.
2026-06-21_14-48-57 Episode 4125: New best reward 345.00, training model saved.
2026-06-21_15-02-00 Episode 4185: New best reward 348.90, training model saved.
2026-06-21_15-05-39 Episode 4199: New best reward 354.60, training model saved.
2026-06-21_15-09-13 Episode 4214: New best reward 424.50, training model saved.
2026-06-21_15-12-11 Episode 4226: New best reward 474.90, training model saved.
2026-06-21_15-24-48 Episode 4273: New best reward 540.40, training model saved.
2026-06-21_15-32-17 Episode 4293: New best reward 611.60, training model saved.
2026-06-21_15-43-14 Episode 4327: New best reward 740.90, training model saved.
2026-06-21_16-06-42 Episode 4392: New best reward 1100.50, training model saved.
2026-06-21_16-10-20 Episode 4394: New best reward 1378.80, training model saved.
2026-06-21_18-30-36 Episode 4646: New best reward 2633.70, training model saved.
2026-06-21_22-29-31 Episode 5000: New best greedy reward 205.20, model saved.
