episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
0,50,5.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
1,100,7.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
2,150,7.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
3,200,8.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
4,250,8.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
5,300,9.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
6,350,9.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
7,400,9.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
8,450,10.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
9,500,10.9,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
10,550,11.3,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
11,600,11.7,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
12,650,12.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
13,700,12.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
14,750,12.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
15,800,13.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
16,850,13.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
17,900,14.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
18,950,14.3,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
19,1000,14.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
20,1050,15.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
21,1100,15.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
22,1150,15.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
23,1200,16.3,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
24,1250,16.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
25,1300,17.1,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
26,1350,17.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
27,1400,17.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
28,1450,18.3,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
29,1500,18.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
30,1550,19.1,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
31,1600,19.5,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
32,1650,19.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
33,1700,20.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
34,1750,20.7,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
35,1800,21.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
36,1850,21.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
37,1900,22.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
38,1950,22.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
39,2000,23.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
40,2050,23.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
41,2100,23.8,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
42,2150,24.2,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
43,2200,24.6,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
44,2250,25.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
45,2300,25.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
46,2350,25.8,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
47,2400,26.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
48,2450,26.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
49,2500,27.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
50,2550,27.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
51,2600,28.3,rainbow_cnn_dqn,,0.3,,50,0,,,,,,,,,,,
52,2650,28.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
53,2700,29.1,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
54,2750,29.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
55,2800,29.9,rainbow_cnn_dqn,,0.9,,50,0,,,,,,,,,,,
56,2850,30.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
57,2900,30.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
58,2950,31.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
59,3000,31.4,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
60,3050,32.1,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
61,3100,32.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
62,3150,32.9,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
63,3200,33.3,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
64,3250,33.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
65,3300,34.0,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
66,3350,34.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
67,3400,34.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
68,3450,35.2,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
69,3500,35.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
70,3550,36.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
71,3600,36.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
72,3650,36.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
73,3700,37.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
74,3750,37.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
75,3800,37.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
76,3850,38.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
77,3900,38.6,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
78,3950,39.0,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
79,4000,39.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
80,4050,39.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
81,4100,40.1,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
82,4150,40.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
83,4200,40.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
84,4250,41.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
85,4300,41.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
86,4350,42.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
87,4400,42.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
88,4450,43.1,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
89,4500,43.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
90,4550,43.9,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
91,4600,44.2,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
92,4650,44.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
93,4700,45.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
94,4750,45.4,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
95,4800,45.8,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
96,4850,46.2,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
97,4900,46.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
98,4950,46.9,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
99,5000,47.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
100,5050,47.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
101,5100,48.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
102,5150,49.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
103,5200,49.4,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
104,5250,49.8,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
105,5300,50.1,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
106,5350,50.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
107,5400,50.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
108,5450,51.3,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
109,5500,51.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
110,5550,52.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
111,5600,52.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
112,5650,53.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
113,5700,53.5,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
114,5750,53.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
115,5800,54.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
116,5850,54.7,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
117,5900,55.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
118,5950,55.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
119,6000,55.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
120,6050,56.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
121,6100,56.5,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
122,6150,56.9,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
123,6200,57.3,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
124,6250,57.7,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
125,6300,58.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
126,6350,58.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
127,6400,58.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
128,6450,59.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
129,6500,59.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
130,6550,60.0,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
131,6600,60.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
132,6650,60.7,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
133,6700,61.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
134,6750,61.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
135,6800,61.9,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
136,6850,62.3,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
137,6900,62.7,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
