2026-09-05_14-30-14: Training starting...
Device: cuda
2026-09-05_14-30-19 Episode 0: New best reward -4.50, training model saved.
2026-09-05_14-30-21 Episode 0: New best greedy reward 2.00, model saved.
2026-09-05_14-30-25 Episode 10: New best reward -2.70, training model saved.
2026-09-05_14-30-32 Episode 28: New best reward -0.90, training model saved.
2026-09-05_14-30-42 Episode 51: New best reward 0.30, training model saved.
2026-09-05_14-30-44 Episode 55: New best reward 0.90, training model saved.
2026-09-05_14-31-18 Episode 140: New best reward 2.10, training model saved.
2026-09-05_14-31-31 Episode 173: New best reward 3.90, training model saved.
2026-09-05_14-33-12 Episode 411: New best reward 4.10, training model saved.
2026-09-05_14-33-33 Episode 450: New best greedy reward 3.90, model saved.
2026-09-05_14-36-21 Episode 758: New best reward 4.80, training model saved.
2026-09-05_14-37-11 Episode 850: New best greedy reward 4.40, model saved.
2026-09-05_14-39-02 Episode 1050: New best greedy reward 4.50, model saved.
2026-09-05_14-39-42 Episode 1122: New best reward 4.90, training model saved.
2026-09-05_14-43-48 Episode 1550: New best greedy reward 4.70, model saved.
2026-09-05_14-43-55 Episode 1561: New best reward 6.00, training model saved.
2026-09-05_14-44-05 Episode 1578: New best reward 6.40, training model saved.
2026-09-05_14-44-13 Episode 1591: New best reward 6.50, training model saved.
2026-09-05_14-44-37 Episode 1631: New best reward 8.40, training model saved.
2026-09-05_14-44-51 Episode 1650: New best greedy reward 6.70, model saved.
2026-09-05_14-45-39 Episode 1724: New best reward 9.20, training model saved.
2026-09-05_14-45-45 Episode 1732: New best reward 9.30, training model saved.
2026-09-05_14-46-10 Episode 1768: New best reward 12.90, training model saved.
2026-09-05_14-46-46 Episode 1819: New best reward 15.30, training model saved.
2026-09-05_14-46-52 Episode 1826: New best reward 23.20, training model saved.
2026-09-05_14-48-33 Episode 1950: New best greedy reward 12.90, model saved.
2026-09-05_14-49-31 Episode 2023: New best reward 23.40, training model saved.
2026-09-05_14-50-35 Episode 2099: New best reward 34.60, training model saved.
2026-09-05_14-52-18 Episode 2185: New best reward 38.60, training model saved.
2026-09-05_14-52-28 Episode 2190: New best reward 51.20, training model saved.
2026-09-05_14-52-42 Episode 2200: New best greedy reward 28.00, model saved.
2026-09-05_14-53-51 Episode 2242: New best reward 79.10, training model saved.
2026-09-05_14-55-01 Episode 2274: New best reward 96.90, training model saved.
2026-09-05_14-55-29 Episode 2280: New best reward 97.80, training model saved.
2026-09-05_14-57-03 Episode 2307: New best reward 225.70, training model saved.
2026-09-05_15-01-49 Episode 2362: New best reward 345.20, training model saved.
2026-09-05_15-07-54 Episode 2400: New best greedy reward 181.90, model saved.
2026-09-05_15-08-43 Episode 2402: New best reward 468.10, training model saved.
2026-09-05_15-10-31 Episode 2407: New best reward 664.30, training model saved.
2026-09-05_15-15-38 Episode 2424: New best reward 1216.90, training model saved.
2026-09-05_15-21-57 Episode 2435: New best reward 1261.80, training model saved.
2026-09-05_15-32-16 Episode 2449: New best reward 2463.30, training model saved.
2026-09-05_15-35-44 Episode 2450: New best greedy reward 1118.90, model saved.
2026-09-05_15-47-36 Episode 2458: New best reward 5279.70, training model saved.
2026-09-05_16-29-10 Episode 2481: New best reward 6577.30, training model saved.
2026-09-05_18-51-18 Episode 2573: New best reward 8884.40, training model saved.
2026-09-05_20-23-22 Episode 2600: New best greedy reward 8985.20, model saved.
2026-09-05_22-33-30 Episode 2651: New best reward 9938.90, training model saved.
2026-09-05_22-58-41 Episode 2656: New best reward 10394.60, training model saved.
2026-09-05_23-39-24 Episode 2675: New best reward 11268.90, training model saved.
2026-09-06_00-47-04 Episode 2694: New best reward 16164.40, training model saved.
