2026-09-04_01-21-39: Training starting...
Device: cuda
2026-09-04_01-21-46 Episode 0: New best reward -4.50, training model saved.
2026-09-04_01-21-48 Episode 0: New best greedy reward 2.00, model saved.
2026-09-04_01-21-52 Episode 10: New best reward -2.70, training model saved.
2026-09-04_01-21-58 Episode 28: New best reward -0.90, training model saved.
2026-09-04_01-22-07 Episode 51: New best reward 0.30, training model saved.
2026-09-04_01-22-09 Episode 55: New best reward 0.90, training model saved.
2026-09-04_01-22-42 Episode 140: New best reward 2.10, training model saved.
2026-09-04_01-22-55 Episode 173: New best reward 3.90, training model saved.
2026-09-04_01-25-13 Episode 495: New best reward 4.20, training model saved.
2026-09-04_01-27-01 Episode 707: New best reward 4.30, training model saved.
2026-09-04_01-27-03 Episode 711: New best reward 4.40, training model saved.
2026-09-04_01-27-22 Episode 749: New best reward 4.80, training model saved.
2026-09-04_01-27-46 Episode 797: New best reward 5.00, training model saved.
2026-09-04_01-27-58 Episode 821: New best reward 8.40, training model saved.
2026-09-04_01-28-17 Episode 856: New best reward 9.10, training model saved.
2026-09-04_01-29-42 Episode 1000: New best greedy reward 3.90, model saved.
2026-09-04_01-34-20 Episode 1486: New best reward 10.70, training model saved.
2026-09-04_01-34-32 Episode 1501: New best reward 10.80, training model saved.
2026-09-04_01-34-42 Episode 1515: New best reward 15.00, training model saved.
2026-09-04_01-35-23 Episode 1573: New best reward 20.70, training model saved.
2026-09-04_01-36-23 Episode 1633: New best reward 32.40, training model saved.
2026-09-04_01-37-48 Episode 1692: New best reward 37.20, training model saved.
2026-09-04_01-38-07 Episode 1704: New best reward 51.20, training model saved.
2026-09-04_01-39-06 Episode 1734: New best reward 54.90, training model saved.
2026-09-04_01-39-16 Episode 1739: New best reward 60.90, training model saved.
2026-09-04_01-39-30 Episode 1744: New best reward 61.00, training model saved.
2026-09-04_01-39-39 Episode 1747: New best reward 70.00, training model saved.
2026-09-04_01-39-46 Episode 1748: New best reward 79.30, training model saved.
2026-09-04_01-40-08 Episode 1754: New best reward 88.70, training model saved.
2026-09-04_01-40-18 Episode 1755: New best reward 107.30, training model saved.
2026-09-04_01-42-27 Episode 1797: New best reward 113.10, training model saved.
2026-09-04_01-44-04 Episode 1824: New best reward 219.50, training model saved.
2026-09-04_01-45-57 Episode 1838: New best reward 280.00, training model saved.
2026-09-04_01-46-23 Episode 1839: New best reward 320.90, training model saved.
2026-09-04_01-49-29 Episode 1863: New best reward 322.10, training model saved.
2026-09-04_01-51-06 Episode 1866: New best reward 852.90, training model saved.
2026-09-04_01-54-31 Episode 1869: New best reward 1999.30, training model saved.
2026-09-04_02-05-47 Episode 1881: New best reward 2533.40, training model saved.
2026-09-04_02-47-19 Episode 1941: New best reward 2745.20, training model saved.
2026-09-04_03-20-41 Episode 1988: New best reward 2854.90, training model saved.
2026-09-04_03-35-36 Episode 1999: New best reward 3503.90, training model saved.
2026-09-04_03-36-19 Episode 2000: New best greedy reward 36.60, model saved.
2026-09-04_04-00-02 Episode 2011: New best reward 4784.80, training model saved.
2026-09-04_05-11-19 Episode 2058: New best reward 7328.60, training model saved.
2026-09-04_07-30-24 Episode 2152: New best reward 8297.00, training model saved.
2026-09-04_08-33-21 Episode 2176: New best reward 8734.90, training model saved.
