number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
0,PRUNED,35.07666666666667,0.1,0.01215445458042264,0.9716764448936565,512,0.00025517257448863745,256,6,8192,0.6735973621624779
1,PRUNED,23.81033333333331,0.3,0.0386939148244682,0.9478180784384784,256,0.00026956648699264765,128,10,8192,0.7396999640071809
2,PRUNED,34.67,0.2,0.009679675142309514,0.9503585966772284,256,0.00047212374725158035,128,3,4096,0.6167453145353465
3,COMPLETE,14.552888888888889,0.2,0.024340509350215256,0.977997809686675,256,2.8190582682383035e-05,256,4,8192,0.6946357731092891
4,COMPLETE,21.79200000000001,0.2,0.019056370061613224,0.954141690167631,256,9.480004799910968e-05,64,10,4096,0.8617172885413278
5,PRUNED,33.809999999999995,0.3,0.005656221586184195,0.9235734099196868,512,2.579435935881333e-05,256,4,8192,0.5303553732741001
6,COMPLETE,27.18911111111111,0.1,0.022537005042401387,0.9493056807859664,512,3.360836402196909e-05,64,6,4096,0.4208646347142615
7,COMPLETE,46.35844444444447,0.3,0.022084561759890303,0.912278909424837,512,0.0005043409765167377,256,6,4096,0.4079797022537364
8,PRUNED,28.464666666666666,0.1,0.046263575885866624,0.9131276898308571,256,3.17038737207538e-05,64,10,4096,0.9364146403870157
9,COMPLETE,37.71155555555552,0.3,0.011600041464833831,0.9130658718925669,512,6.49407550277399e-05,256,10,4096,0.5943509014058945
10,PRUNED,29.929666666666648,0.1,0.025274007602760443,0.9329521473948966,256,0.000741481526689937,256,10,8192,0.8873021850383886
11,COMPLETE,35.80355555555552,0.2,0.01041401940050718,0.9686836219890965,512,0.0004510484854393359,256,3,8192,0.613318484606366
12,COMPLETE,59.18711111111106,0.3,0.0071161460211771254,0.9069234053366363,512,0.0003248019365518708,256,4,4096,0.5100027586370576
13,PRUNED,33.21266666666667,0.2,0.023955016767785546,0.9469402211461809,512,5.619625621955263e-05,256,4,8192,0.8478119102062147
14,COMPLETE,33.95266666666665,0.2,0.03084383103053174,0.923571258112935,256,8.813774376352733e-05,64,6,4096,0.573346915136125
15,PRUNED,48.703333333333305,0.3,0.005423021927473239,0.9625554178345874,512,2.1766589475949984e-05,128,10,8192,0.9367496992417916
16,COMPLETE,39.38666666666669,0.1,0.014169717063852078,0.94766903822133,512,0.0002534900523172604,256,6,8192,0.5558745646669745
