number,state,value,learning_rate_a,per_alpha,per_beta_init,sigma_init
0,RUNNING,,1.125836211958369e-05,0.3973354270711115,0.3643108346920992,0.356197140153173
1,RUNNING,,3.280198039268316e-05,0.4994392846454325,0.5696256773956102,0.6907418748378076
2,PRUNED,12.33433333333333,2.4475904516978456e-05,0.3701484815349531,0.38840258103829906,0.6727408517565867
3,PRUNED,22.428999999999995,0.0001104376861530026,0.34762898117480256,0.3079972737653543,0.6957953484785486
4,RUNNING,,0.00018593011103999865,0.3825627650788125,0.5461487987986434,0.5859249797231761
5,PRUNED,13.776000000000003,4.828239494346411e-05,0.6392387702337896,0.4997510576319653,0.5383770091612099
6,RUNNING,,0.0004541220830817013,0.44093638089130993,0.46489628569156255,0.5997269003943028
7,RUNNING,,3.0095646365323148e-05,0.4717250637743703,0.4201815997157043,0.5053624481741084
8,PRUNED,14.04,8.120317070611882e-05,0.5927727466236216,0.3472839712427184,0.6114337103228074
9,PRUNED,11.526388888888887,1.5476299359345468e-05,0.3698099475054986,0.34401237782664607,0.3142773524823024
10,PRUNED,17.05799999999998,0.00030301018464458,0.34301613046815316,0.31070343128728817,0.4669307366494886
11,PRUNED,10.031666666666675,1.5454912428152057e-05,0.6775977190643951,0.3879569432898064,0.6023444637431987
12,PRUNED,31.425999999999966,6.684721508024221e-05,0.6678503088509112,0.5120473688883781,0.5905724053906358
13,RUNNING,,6.01529137753758e-05,0.6553502562746585,0.3354341509266794,0.54587025825185
14,PRUNED,13.445666666666657,1.5717856008834066e-05,0.6986606941468657,0.3894576281927578,0.48497468539017446
15,PRUNED,9.788000000000006,1.3272337348250977e-05,0.6480617182289911,0.4359900239580871,0.677687156805068
16,RUNNING,,2.4440767414479548e-05,0.639053718131809,0.4911551499133228,0.3011176259871284
17,RUNNING,,0.0003536771639068573,0.6704953914294515,0.5191117067263654,0.6391682989684295
