number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
0,PRUNED,6.286999999999994,0.3,0.02853477250358122,0.9693367437097977,256,0.00018502660049307982,128,10,4096,0.8382356068222823
1,PRUNED,4.998999999999994,0.3,0.012286198973646382,0.9686631247077859,256,3.727007768254026e-05,128,3,8192,0.9729031363086595
2,COMPLETE,136.6749999999972,0.1,0.012316154987992982,0.9447823202160555,512,9.67759569827527e-05,128,10,4096,0.9707751436809304
3,COMPLETE,317.02500000000293,0.3,0.042496509005277176,0.959278917159507,256,0.00010574787719450524,256,3,4096,0.9382301058466835
4,PRUNED,5.587999999999994,0.3,0.01232869999415105,0.9421364390876508,512,1.1707408665743576e-05,128,6,4096,0.7854223285842843
5,PRUNED,28.759000000000068,0.2,0.03663699769753298,0.975935188191852,512,0.00017355516690783766,64,4,4096,0.7268727750931616
6,PRUNED,6.1529999999999925,0.3,0.00985882098652276,0.9546964918922122,256,3.698783901400058e-05,256,4,4096,0.5219000324184205
7,COMPLETE,63.05000000000042,0.1,0.00815340706183646,0.9179693069111424,512,0.00048800630608514565,256,4,4096,0.4161209547297773
8,COMPLETE,44.35000000000031,0.3,0.025396055949598064,0.9061368036435068,512,0.00018726509846879038,128,3,8192,0.8845657531231292
9,PRUNED,54.30399999999997,0.1,0.023795922729247236,0.9560390249034724,256,8.267664036409475e-05,64,3,4096,0.6551163791873335
10,PRUNED,6.058999999999995,0.3,0.005036263626011297,0.989367734775948,256,4.3519094916503085e-05,128,3,4096,0.8043129144199721
11,COMPLETE,1198.9250000000034,0.1,0.005413076508037232,0.9337822437856624,256,2.898073454167915e-05,128,10,4096,0.5762614005776248
12,PRUNED,3.143999999999998,0.1,0.04132146375612026,0.9745448435584337,512,1.1504148474633518e-05,128,4,8192,0.7491030730384348
13,PRUNED,6.556999999999993,0.2,0.043147822791160494,0.94235919067002,512,4.491521522176525e-05,256,6,4096,0.6135054964710662
14,COMPLETE,86.34999999999945,0.1,0.02796662709380888,0.9843481231840108,512,0.0008434790867792363,256,4,4096,0.562574806398602
15,COMPLETE,14.099999999999971,0.3,0.011404296819084052,0.9120479812316395,256,2.9558811630215917e-05,64,10,4096,0.5959889894545023
16,COMPLETE,104.79999999999863,0.1,0.013014115532200232,0.9538819759772816,512,6.943765100738634e-05,64,4,4096,0.6983401856234511
17,PRUNED,6.036999999999994,0.3,0.005923093822812719,0.9339640228361202,256,1.5645021944518248e-05,256,3,8192,0.470463885601146
18,PRUNED,61.791999999999845,0.3,0.006552516922190558,0.9577187141148512,256,0.0003012599540995308,256,4,4096,0.7155316761910249
