number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
0,COMPLETE,2.0000000000000013,64,0.00011205298908518642,3,2000,0.4853268528226581,0.5881644852610639,0.4615927775617623,20.0
1,COMPLETE,2.0000000000000013,128,3.8255910519806564e-05,3,1000,0.44001218536195325,0.5812736250148425,0.4626579948867866,20.0
2,COMPLETE,34.15000000000019,32,0.0004121262823602218,3,2000,0.6255592196132154,0.35966817448369154,0.3509320282175541,20.0
3,PRUNED,2.0260000000000007,64,7.08978673856221e-05,1,500,0.6929880489209973,0.4484051757923837,0.4190317513710856,15.0
4,PRUNED,10.150999999999998,32,5.597610612538076e-05,3,2000,0.5204138498023574,0.4974117874808983,0.6157024229873378,30.0
5,PRUNED,6.593999999999993,32,1.7412491240273637e-05,5,2000,0.5283383376003751,0.38526267278630777,0.42495439370910804,20.0
6,PRUNED,4.0029999999999974,32,2.2633370163261552e-05,1,2000,0.5325102875206272,0.4469058295683308,0.48754822223539074,15.0
7,PRUNED,16.852000000000025,64,0.0002867732750083966,5,2000,0.5266486009275863,0.46668290704245186,0.5619841787259682,20.0
8,PRUNED,33.6189999999999,64,0.000272410898455736,3,500,0.5271768366669427,0.448463536984116,0.46680839239615307,20.0
9,PRUNED,2.000000000000001,128,0.00013529521235464947,1,2000,0.35439444767265904,0.5782672652075954,0.32002012032827604,15.0
10,PRUNED,38.85399999999997,32,9.697237186590927e-05,5,2000,0.6780033345683408,0.574013608160318,0.6855035558384781,15.0
11,PRUNED,4.825999999999996,64,0.00010211569235486807,1,1000,0.46934762709682754,0.4205360040452219,0.6487375797625821,20.0
12,PRUNED,7.541999999999993,64,6.78468975217638e-05,5,8000,0.5124986588849815,0.524721471392527,0.5076404740711471,15.0
13,PRUNED,43.84299999999992,32,0.00018642465254856274,3,2000,0.6899032964099583,0.3931900870720604,0.48274809607450436,20.0
14,PRUNED,47.00299999999967,32,0.00020883548520750738,3,2000,0.6789125615321111,0.41690437332980884,0.37805400843498493,20.0
15,COMPLETE,19.175000000000026,32,0.0003954782499049907,3,2000,0.6815727046852257,0.3304036232921552,0.4401402882571462,20.0
16,COMPLETE,53.12500000000039,32,0.00029607129485013944,3,2000,0.5645352014282502,0.3368045778602145,0.35416143566336394,20.0
17,PRUNED,6.321999999999992,128,0.00025286091753149136,3,2000,0.5670041152699049,0.4092798602069334,0.3355541574235437,20.0
18,PRUNED,12.451000000000006,64,0.00016470328484035745,3,2000,0.44712913711919877,0.3285208286945461,0.31561911226605854,20.0
19,COMPLETE,11.29999999999998,32,0.0004351219410109878,5,2000,0.683346510039219,0.3261219803432613,0.3027650255108055,20.0
20,COMPLETE,2.0000000000000013,64,0.00011358886759568758,3,2000,0.3058325845411441,0.5822172003905025,0.45133764527235787,20.0
21,COMPLETE,10.99999999999998,32,0.00034186978160211345,5,2000,0.6031412155271771,0.3123657879105438,0.3610407990992855,15.0
22,PRUNED,7.615999999999993,32,0.00044171240091008364,5,2000,0.43090070540345504,0.4042935098605581,0.391036868618652,20.0
23,PRUNED,9.253999999999994,32,0.0003301715663267487,5,2000,0.6322785300068318,0.3590747481944403,0.3071954049827536,15.0
24,PRUNED,41.89099999999983,32,0.0003416304583746313,3,1000,0.5099355736140754,0.31388806718797563,0.3849217396728594,20.0
25,PRUNED,49.53699999999988,32,0.00025176108167121263,3,500,0.6061428344128169,0.315295740510118,0.300374062967314,20.0
26,PRUNED,9.307999999999998,32,0.00041252240462277216,3,2000,0.4663111735554404,0.31085696755265213,0.40751231341525174,15.0
27,PRUNED,47.41199999999985,64,0.00035393014002897265,3,2000,0.6628081662343619,0.33485642207962585,0.4263266553543306,30.0
28,PRUNED,9.673,128,0.0002843480140647939,3,2000,0.6204371738380708,0.3204985774543574,0.4038778276498634,30.0
29,COMPLETE,21.05000000000004,64,0.0002763116594604896,3,2000,0.6193532106553556,0.3148482228414506,0.3792339121575044,30.0
30,COMPLETE,36.950000000000216,32,0.00044094367683378705,3,8000,0.6680507322209052,0.38164054362301575,0.4213344969232772,15.0
31,COMPLETE,3.8999999999999986,32,0.0001138945926579674,1,2000,0.5690902710157753,0.3112876071353557,0.41050427568879316,20.0
32,PRUNED,-6.0939999999999985,128,0.0004235829325414682,1,8000,0.5561252188571768,0.3247139994584489,0.338983821066219,20.0
33,COMPLETE,76.82499999999987,32,0.00028043756140636007,3,2000,0.5681273322631624,0.319004094653224,0.40148734322940116,20.0
34,PRUNED,41.313999999999886,32,0.0003961935746737323,3,2000,0.568323655588481,0.35466138738384806,0.30362352209601706,30.0
35,PRUNED,5.080999999999996,128,0.0003634965869326759,3,8000,0.6709927452444966,0.44389670421731253,0.43739074591270194,15.0
36,PRUNED,5.116999999999995,32,0.00015655452118489585,3,8000,0.6894977772184452,0.3703167562268369,0.42553019744014614,15.0
37,PRUNED,5.176999999999995,32,0.0004387973123471332,3,8000,0.6970202500398995,0.3898142460449799,0.34305176042236984,15.0
38,PRUNED,4.936999999999995,32,0.000428290587493941,3,8000,0.6367973146322035,0.41146081780700566,0.42327259726098637,30.0
