number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
0,PRUNED,4.061999999999997,64,256,0.0009168806146185811,1,8000,0.56987447472607,0.44680747826978684,0.3268729967874886
1,COMPLETE,23.875000000000078,32,512,0.0005181668445274442,5,2000,0.5883533079126272,0.3131087669098168,0.34265993660544086
2,COMPLETE,6.099999999999994,32,256,3.705750207367881e-05,3,1000,0.4341390504892595,0.3950692832069427,0.6371442807589555
3,PRUNED,4.892999999999995,32,256,7.875433417617684e-05,5,500,0.6547181384761734,0.3224136153058516,0.694724529388209
4,COMPLETE,4.999999999999995,64,512,6.191928624367983e-05,1,8000,0.6215404959536377,0.409646046138837,0.3001422084161967
5,COMPLETE,30.250000000000142,64,256,0.00012984053240342074,5,1000,0.6598981797548935,0.34603205570224277,0.34764844442840415
6,COMPLETE,4.099999999999998,128,256,9.404196729951005e-05,3,1000,0.44758592528183194,0.4107634646625971,0.45482481223763777
7,PRUNED,4.123999999999998,64,256,2.481569351888402e-05,3,8000,0.6396808685049168,0.33216101799171915,0.5493216566563919
8,COMPLETE,3.8999999999999986,64,256,0.0003398609733150374,5,1000,0.3671148575297438,0.56582901981383,0.6330514983426457
9,COMPLETE,77.97499999999982,128,512,0.0007626900268667981,3,8000,0.3496289915105517,0.5090421359482845,0.6455355748771204
10,PRUNED,3.8999999999999977,32,512,0.0009897008867266381,1,2000,0.6957400090782258,0.3152424586703282,0.479332787404671
11,PRUNED,5.407999999999994,64,512,2.1480167262881033e-05,3,500,0.382769068286694,0.30677290535680013,0.6152998056395744
12,PRUNED,-7.187999999999997,32,256,1.6713733364986022e-05,5,1000,0.6965919421921799,0.3103133616303454,0.5257425306738892
13,COMPLETE,20.675000000000033,32,256,0.00018086806634775673,5,2000,0.6943605794699519,0.48352705727722234,0.5519259935218457
14,PRUNED,4.126999999999997,128,512,1.6081658459767523e-05,1,500,0.3514728678512618,0.46846052836505603,0.6164592118532535
15,PRUNED,2.000000000000001,64,256,0.00017255466611519274,1,2000,0.34237317459504735,0.4808565343329566,0.4933858727238333
16,PRUNED,3.4219999999999984,64,256,3.350523309898742e-05,5,8000,0.3049241147682005,0.5417204069065986,0.6895453134808524
17,COMPLETE,3.8999999999999986,64,256,0.0005945901389438729,1,1000,0.47233645976355687,0.46945026513399524,0.45224105421905186
18,PRUNED,2.2370000000000014,128,256,5.339914814303836e-05,3,500,0.3725826103843733,0.5801879188802737,0.652862825317835
