episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
0,283,9.9,ppo_cnn,5-1,4.5333,67.0,283,0.0,174,174,0,False,enemy,False,243,0,500,1,1
1,453,14.2,ppo_cnn,1-3,12.3333,185.0,170,0.0,274,236,0,False,pit,False,266,0,0,1,4
2,1728,24.5,ppo_cnn,2-1,9.3333,140.0,1275,1.0,432,428,1,False,enemy,False,145,0,1800,1,1
3,2046,27.1,ppo_cnn,3-1,14.9333,224.0,318,1.0,344,319,1,False,enemy,False,336,0,0,1,1
4,2460,30.3,ppo_cnn,1-3,9.8667,148.0,414,1.0,288,288,1,False,pit,False,217,0,0,1,4
5,2549,31.0,ppo_cnn,3-1,18.7333,281.0,89,1.0,343,303,1,False,enemy,False,382,1,600,1,1
6,2662,31.9,ppo_cnn,1-1,11.1333,167.0,113,0.0,245,229,0,False,enemy,False,377,0,0,1,1
7,3039,34.8,ppo_cnn,5-1,15.8667,238.0,377,1.0,363,363,1,False,enemy,False,224,0,600,1,1
8,5043,53.4,ppo_cnn,3-1,9.7333,146.0,2004,2.0,596,596,2,False,timeout,False,0,0,500,1,1
9,5282,55.5,ppo_cnn,4-1,14.6,219.0,239,1.0,322,290,1,False,enemy,False,352,0,0,1,1
10,5701,58.8,ppo_cnn,4-1,10.8,162.0,419,1.0,301,301,1,False,enemy,False,316,0,0,1,1
11,5925,60.5,ppo_cnn,3-1,8.9333,134.0,224,0.0,234,234,0,False,enemy,False,355,0,0,1,1
12,6257,63.1,ppo_cnn,4-1,13.4667,202.0,332,1.0,323,323,1,False,enemy,False,334,0,0,1,1
13,6578,65.6,ppo_cnn,5-1,24.4667,366.0,321,1.0,475,475,1,False,enemy,False,235,0,1200,1,1
14,6822,67.4,ppo_cnn,2-1,13.5333,203.0,244,1.0,307,307,1,False,enemy,False,351,0,0,1,1
15,6966,68.5,ppo_cnn,1-3,13.1333,196.0,144,1.0,282,281,1,False,pit,False,271,0,0,1,4
16,7233,70.5,ppo_cnn,1-1,9.2,138.0,267,0.0,246,246,0,False,enemy,False,347,0,0,1,1
17,7420,71.9,ppo_cnn,1-1,10.2667,154.0,187,0.0,246,243,0,False,enemy,False,363,0,0,1,1
18,7633,73.5,ppo_cnn,1-3,11.3333,169.0,213,0.0,268,246,0,False,pit,False,257,0,0,1,4
19,7939,75.9,ppo_cnn,4-1,13.8,206.0,306,1.0,323,323,1,False,enemy,False,338,0,0,1,1
20,8041,76.7,ppo_cnn,5-1,24.6,368.0,102,1.0,443,403,1,False,enemy,False,279,0,300,1,1
21,10075,93.7,ppo_cnn,2-1,8.4667,127.0,2034,1.0,535,495,1,False,timeout,False,0,1,4200,1,1
22,10197,94.6,ppo_cnn,1-3,13.8667,208.0,122,0.0,289,249,0,False,pit,False,276,0,0,1,4
23,10308,95.5,ppo_cnn,1-3,14.9333,223.0,111,1.0,304,269,1,False,pit,False,277,0,0,1,4
24,10421,96.3,ppo_cnn,1-3,13.4,201.0,113,0.0,280,240,0,False,pit,False,277,0,0,1,4
25,11784,106.7,ppo_cnn,1-1,32.3333,485.0,1363,3.0,811,771,3,False,enemy,False,128,0,200,1,1
26,11827,107.1,ppo_cnn,1-3,16.0667,240.0,43,1.0,307,271,1,False,pit,False,291,0,0,1,4
27,12013,108.5,ppo_cnn,3-1,21.4,320.0,186,1.0,403,400,1,False,enemy,False,362,0,1000,1,1
