2026-08-21_17-51-49: Training starting...
Device: cuda
2026-08-21_17-51-58 Episode 0: New best reward 4.53, training model saved.
2026-08-21_17-52-01 Episode 0: New best greedy reward 8.40, model saved.
2026-08-21_17-52-03 Episode 1: New best reward 12.33, training model saved.
2026-08-21_17-52-16 Episode 3: New best reward 14.93, training model saved.
2026-08-21_17-52-20 Episode 5: New best reward 18.73, training model saved.
2026-08-21_17-52-54 Episode 13: New best reward 24.47, training model saved.
2026-08-21_17-53-05 Episode 20: New best reward 24.60, training model saved.
2026-08-21_17-53-35 Episode 25: New best reward 32.33, training model saved.
2026-08-21_17-53-42 Episode 28: New best reward 37.67, training model saved.
2026-08-21_17-53-56 Episode 33: New best reward 56.13, training model saved.
2026-08-21_17-54-38 Episode 59: New best reward 58.20, training model saved.
2026-08-21_17-55-25 Episode 75: New best reward 76.53, training model saved.
2026-08-21_17-56-36 Episode 112: New best reward 103.07, training model saved.
2026-08-21_17-58-26 Episode 199: New best reward 103.20, training model saved.
2026-08-21_17-59-36 Episode 278: New best reward 109.60, training model saved.
2026-08-21_18-00-02 Episode 301: New best reward 111.33, training model saved.
2026-08-21_18-02-10 Episode 445: New best reward 138.60, training model saved.
2026-08-21_18-07-49 Episode 882: New best reward 140.33, training model saved.
2026-08-21_18-09-26 Episode 1000: New best greedy reward 16.13, model saved.
2026-08-21_18-15-17 Episode 1463: New best reward 154.67, training model saved.
2026-08-21_18-26-13 Episode 2313: New best reward 155.80, training model saved.
2026-08-21_18-26-48 Episode 2357: New best reward 167.07, training model saved.
2026-08-21_18-33-37 Episode 3000: New best greedy reward 34.87, model saved.
2026-08-21_18-42-49 Episode 3858: New best reward 169.20, training model saved.
2026-08-21_18-43-30 Episode 3920: New best reward 182.67, training model saved.
2026-08-21_18-57-04 Episode 5118: New best reward 184.13, training model saved.
2026-08-21_19-19-12 Episode 7000: New best greedy reward 37.20, model saved.
2026-08-21_19-42-02 Episode 8848: New best reward 186.67, training model saved.
2026-08-21_19-49-26 Episode 9417: New best reward 186.80, training model saved.
2026-08-21_19-54-49 Episode 9864: New best reward 187.73, training model saved.
2026-08-21_20-09-34 Episode 11030: New best reward 200.53, training model saved.
2026-08-21_20-22-01 Episode 11968: New best reward 233.60, training model saved.
2026-08-21_21-11-07 Episode 15508: New best reward 233.87, training model saved.
2026-08-21_21-18-20 Episode 16000: New best greedy reward 45.07, model saved.
2026-08-21_22-54-17 Episode 22000: New best greedy reward 117.20, model saved.
2026-08-21_23-11-08 Episode 23000: New best greedy reward 118.87, model saved.
2026-08-21_23-42-19 Episode 25000: New best greedy reward 132.13, model saved.
2026-08-22_00-38-18 Episode 28240: New best reward 234.27, training model saved.
2026-08-22_01-46-22 Episode 31849: New best reward 234.33, training model saved.
2026-08-22_02-02-56 Episode 32605: New best reward 234.47, training model saved.
2026-08-22_02-52-30 Episode 34800: New best reward 234.60, training model saved.
2026-08-22_03-18-04 Episode 35929: New best reward 234.60, training model saved.
2026-08-22_03-42-37 Episode 37000: New best greedy reward 209.13, model saved.
2026-08-22_04-03-07 Episode 37812: New best reward 234.73, training model saved.
2026-08-22_04-40-01 Episode 39279: New best reward 234.87, training model saved.
2026-08-22_04-47-01 Episode 39510: New best reward 234.93, training model saved.
2026-08-22_05-09-27 Episode 40384: New best reward 235.20, training model saved.
2026-08-22_05-23-26 Episode 40967: New best reward 235.53, training model saved.
2026-08-22_08-15-27 Episode 47124: New best reward 235.60, training model saved.
