level,tier,archetype,n,flag_rate,pages_mean,pages_max,x_pos_max_mean,x_pos_max_best,route_progress_mean,return_mean,return_raw_mean,length_mean,warp_rate,distinct_terminal_x,death_mix
1-1,train,ground,30,0.0,8.933333333333334,9.0,2361.0333333333333,2372,,127.2355555555569,1908.1333333333334,2001.3333333333333,0.0,5,timeout=30
1-2,train,underground,30,0.06666666666666667,4.966666666666667,10.0,1401.7333333333333,2644,,79.5555555555559,1202.4,889.1,0.0,20,enemy=16;flag=2;timeout=12
1-3,train,athletic,30,0.0,2.0,2.0,779.4666666666667,783,,47.22666666666666,708.1666666666666,65.86666666666666,0.0,9,pit=30
1-4,train,castle,30,0.8333333333333334,8.0,8.0,2245.0,2267,,147.36666666666653,2171.633333333333,205.06666666666666,0.0,17,enemy=5;flag=25
2-1,train,ground,30,0.0,3.1,5.0,990.5,1533,,54.24444444444439,815.1666666666666,615.7,0.0,22,enemy=20;pit=2;timeout=8
2-2,train,underwater,30,0.0,3.3,8.0,1016.7,2204,,60.93333333333337,913.9,265.46666666666664,0.0,25,enemy=23;pit=7
2-3,train,athletic,30,0.0,10.833333333333334,13.0,2912.5333333333333,3588,,178.99333333333416,2745.6666666666665,1053.3,0.0,19,enemy=9;pit=1;timeout=20
2-4,tier1,castle,30,0.0,3.8333333333333335,8.0,1116.6,2092,,68.98444444444436,1034.5,125.56666666666666,0.0,18,enemy=10;pit=20
3-1,train,ground,30,0.0,6.333333333333333,9.0,1762.7666666666667,2346,,105.60666666666683,1585.6333333333334,634.8666666666667,0.0,27,enemy=18;pit=6;timeout=6
3-2,tier1,ground,30,0.0,2.966666666666667,8.0,999.6666666666666,2105,,61.8044444444444,930.7,104.26666666666667,0.0,14,enemy=29;pit=1
3-3,train,athletic,30,0.0,7.3,8.0,2044.8333333333333,2261,,132.89777777777783,2036.9333333333334,193.2,0.0,17,enemy=5;pit=25
3-4,train,castle,30,0.6666666666666666,7.8,8.0,2173.266666666667,2261,,141.76444444444442,2104.1666666666665,212.2,0.0,20,enemy=10;flag=20
4-1,train,ground,30,0.03333333333333333,9.533333333333333,13.0,2535.1666666666665,3593,,156.18000000000038,2352.733333333333,748.6333333333333,0.0,18,enemy=20;flag=1;pit=1;timeout=8
4-2,tier1,underground,30,0.0,0.0,0.0,240.26666666666668,290,,11.902222222222225,178.2,25.633333333333333,0.0,13,pit=30
4-3,tier1,athletic,30,0.0,1.0,1.0,439.3666666666667,536,,25.575555555555567,390.6333333333333,41.333333333333336,0.0,11,enemy=13;pit=17
5-1,train,ground,30,0.0,2.7333333333333334,7.0,874.3,1872,,50.49333333333327,756.9333333333333,322.56666666666666,0.0,13,enemy=22;pit=3;timeout=5
5-2,tier1,ground,30,0.0,0.5666666666666667,3.0,344.93333333333334,1026,,10.946666666666598,164.46666666666667,627.3333333333334,0.0,18,enemy=21;pit=4;timeout=5
5-3,tier0,athletic,30,0.0,1.9333333333333333,2.0,735.3,782,,44.35333333333332,664.7333333333333,62.13333333333333,0.0,13,enemy=5;pit=25
5-4,train,castle,30,0.0,6.066666666666666,7.0,1759.6333333333334,1841,,111.45111111111096,1672.0333333333333,160.46666666666667,0.0,22,enemy=12;pit=18
6-1,train,ground,30,0.7666666666666667,10.733333333333333,11.0,2907.366666666667,2969,,190.42888888888908,2831.633333333333,270.73333333333335,0.0,7,enemy=1;flag=23;pit=6
6-2,train,ground,30,0.0,5.6,8.0,1598.4333333333334,2111,,94.52444444444467,1418.1,631.1333333333333,0.0,28,enemy=18;pit=6;timeout=6
6-3,tier1,athletic,30,0.0,1.0666666666666667,2.0,405.4,680,,22.086666666666666,330.9,83.83333333333333,0.0,13,pit=29;timeout=1
