level,tier,archetype,n,flag_rate,pages_mean,pages_max,x_pos_max_mean,x_pos_max_best,route_progress_mean,return_mean,return_raw_mean,length_mean,warp_rate,distinct_terminal_x,death_mix
1-1,train,ground,30,0.0,9.433333333333334,12.0,2527.1,3155,,140.05555555555685,2101.8,1877.8333333333333,0.0,16,enemy=2;timeout=28
1-2,train,underground,30,0.06666666666666667,4.0,10.0,1159.3666666666666,2675,,59.415555555555734,901.9,1146.5666666666666,0.0,23,enemy=9;flag=2;pit=3;timeout=16
1-3,train,athletic,30,0.0,2.0,2.0,774.8,783,,46.92888888888888,703.7,65.33333333333333,0.0,5,pit=30
1-4,train,castle,30,0.7,7.633333333333334,8.0,2148.2,2265,,138.2933333333332,2074.3,191.93333333333334,0.0,14,enemy=9;flag=21
2-1,train,ground,30,0.0,2.566666666666667,5.0,852.1666666666666,1531,,47.94222222222213,720.1333333333333,396.4,0.0,10,enemy=25;pit=1;timeout=4
2-2,train,underwater,30,0.0,2.933333333333333,8.0,947.7,2249,,56.40888888888892,846.5666666666667,271.53333333333336,0.0,24,enemy=25;pit=4;timeout=1
2-3,train,athletic,30,0.0,10.3,11.0,2783.8333333333335,2924,,180.60000000000005,2749.8,247.93333333333334,0.0,13,enemy=1;pit=29
2-4,tier1,castle,30,0.0,6.566666666666666,8.0,1800.3,2243,,114.04888888888871,1710.4666666666667,161.66666666666666,0.0,23,enemy=21;pit=9
3-1,train,ground,30,0.0,3.2,5.0,976.8333333333334,1401,,58.211111111111,872.8666666666667,249.86666666666667,0.0,17,enemy=26;pit=2;timeout=2
3-2,tier1,ground,30,0.0,1.1666666666666667,4.0,403.3,1107,,22.579999999999995,338.5,35.333333333333336,0.0,13,enemy=30
3-3,train,athletic,30,0.0,6.866666666666666,7.0,1883.6,1955,,122.06444444444426,1871.1333333333334,166.03333333333333,0.0,22,enemy=7;pit=23
3-4,train,castle,30,0.0,5.266666666666667,6.0,1494.7,1685,,94.10444444444433,1411.6,136.63333333333333,0.0,14,enemy=7;pit=23
4-1,train,ground,30,0.0,8.433333333333334,13.0,2280.5,3427,,144.47333333333333,2175.133333333333,324.46666666666664,0.0,13,enemy=26;pit=3;timeout=1
4-2,tier1,underground,30,0.0,1.8,4.0,600.3,1235,,35.366666666666674,530.1666666666666,67.13333333333334,0.0,21,enemy=23;pit=7
4-3,tier1,athletic,30,0.0,1.0,1.0,392.5,395,,21.87111111111113,327.5,33.46666666666667,0.0,5,pit=30
5-1,train,ground,30,0.0,3.9,5.0,1147.6666666666667,1413,,56.83111111111155,852.0,1219.0666666666666,0.0,10,enemy=2;pit=4;timeout=24
5-2,tier1,ground,30,0.0,0.9,7.0,432.56666666666666,1843,,17.593333333333348,263.96666666666664,573.4333333333333,0.0,18,enemy=12;pit=11;timeout=7
5-3,tier0,athletic,30,0.0,2.0,2.0,775.0,795,,47.00888888888888,704.5666666666667,65.4,0.0,6,pit=30
5-4,train,castle,30,0.0,6.366666666666666,8.0,1784.0666666666666,2203,,113.05777777777759,1695.9,158.26666666666668,0.0,15,enemy=13;pit=17
6-1,train,ground,30,0.23333333333333334,9.6,11.0,2647.5666666666666,2969,,170.0288888888889,2557.7,264.2,0.0,15,enemy=3;flag=7;pit=20
6-2,train,ground,30,0.0,2.5,5.0,786.0,1506,,45.46222222222213,681.6666666666666,241.83333333333334,0.0,22,enemy=28;timeout=2
6-3,tier1,athletic,30,0.0,1.0,1.0,381.1666666666667,406,,21.18222222222223,317.3333333333333,35.733333333333334,0.0,9,pit=30
6-4,train,castle,30,0.2,6.466666666666667,8.0,1856.8333333333333,2261,,118.01777777777768,1770.0333333333333,175.8,0.0,21,enemy=24;flag=6
7-1,train,ground,30,0.0,2.066666666666667,5.0,734.9666666666667,1476,,35.82888888888886,537.0666666666667,713.7666666666667,0.0,20,enemy=21;pit=1;timeout=8
7-2,tier0,underwater,30,0.0,1.4333333333333333,4.0,589.3333333333334,1242,,33.28000000000001,499.2,189.06666666666666,0.0,17,enemy=27;pit=3
7-3,train,athletic,30,0.0,10.233333333333333,13.0,2760.366666666667,3394,,178.86000000000004,2724.4666666666667,287.3,0.0,20,enemy=4;pit=25;timeout=1
8-1,train,ground,30,0.0,3.966666666666667,13.0,1247.2666666666667,3589,,68.48000000000002,1027.2333333333333,829.8666666666667,0.0,17,enemy=14;pit=2;timeout=14
