2026-09-03_02-44-17: Training starting...
Device: cuda
2026-09-03_02-44-26 Episode 0: New best reward -2.07, training model saved.
2026-09-03_02-44-29 Episode 0: New best greedy reward 10.00, model saved.
2026-09-03_02-44-31 Episode 1: New best reward 23.60, training model saved.
2026-09-03_02-45-47 Episode 16: New best reward 32.50, training model saved.
2026-09-03_02-46-09 Episode 21: New best reward 63.80, training model saved.
2026-09-03_02-47-03 Episode 48: New best reward 74.53, training model saved.
2026-09-03_02-47-27 Episode 54: New best reward 82.07, training model saved.
2026-09-03_02-49-26 Episode 114: New best reward 98.67, training model saved.
2026-09-03_02-50-28 Episode 156: New best reward 110.40, training model saved.
2026-09-03_02-55-15 Episode 363: New best reward 122.20, training model saved.
2026-09-03_03-00-08 Episode 676: New best reward 126.87, training model saved.
2026-09-03_03-02-03 Episode 821: New best reward 138.33, training model saved.
2026-09-03_03-04-15 Episode 1000: New best greedy reward 19.60, model saved.
2026-09-03_03-08-49 Episode 1367: New best reward 154.53, training model saved.
2026-09-03_03-16-14 Episode 1950: New best reward 184.27, training model saved.
2026-09-03_03-43-18 Episode 4000: New best greedy reward 23.73, model saved.
2026-09-03_03-56-42 Episode 5000: New best greedy reward 24.07, model saved.
2026-09-03_04-11-53 Episode 6000: New best greedy reward 29.00, model saved.
2026-09-03_04-28-37 Episode 7000: New best greedy reward 76.33, model saved.
2026-09-03_06-40-10 Episode 14299: New best reward 198.13, training model saved.
2026-09-03_07-36-08 Episode 17000: New best greedy reward 81.60, model saved.
2026-09-03_07-55-38 Episode 18000: New best greedy reward 86.53, model saved.
2026-09-03_08-31-01 Episode 19684: New best reward 228.80, training model saved.
2026-09-03_08-42-19 Episode 20229: New best reward 231.60, training model saved.
2026-09-03_09-58-34 Episode 24000: New best greedy reward 102.60, model saved.
2026-09-03_12-04-46 Episode 30000: New best greedy reward 129.13, model saved.
2026-09-03_13-02-44 Episode 32797: New best reward 232.27, training model saved.
2026-09-03_13-08-47 Episode 33000: New best greedy reward 129.13, model saved.
2026-09-03_13-31-03 Episode 34000: New best greedy reward 163.80, model saved.
2026-09-03_19-48-15 Episode 50000: New best greedy reward 171.00, model saved.
2026-09-03_20-11-42 Episode 51000: New best greedy reward 180.53, model saved.
2026-09-03_20-33-09 Episode 51821: New best reward 232.73, training model saved.
2026-09-03_21-09-32 Episode 53166: New best reward 234.87, training model saved.
2026-09-03_21-23-04 Episode 53681: New best reward 235.87, training model saved.
2026-09-03_22-54-26 Episode 57000: New best greedy reward 182.07, model saved.
2026-09-04_01-55-19 Episode 63679: LR reached floor 1.00e-05 (step 10002432), holding.
