episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
0,89,7.7,ppo_cnn,8-1,-2.0667,-32.0,89,0.0,41,41,0,False,enemy,False,282,0,0,1,1
1,296,12.4,ppo_cnn,1-4,23.6,354.0,207,1.0,451,451,1,False,pit,False,258,0,0,1,5
2,446,13.8,ppo_cnn,3-3,13.2667,199.0,150,1.0,285,283,1,False,pit,False,270,0,0,1,3
3,1048,18.5,ppo_cnn,6-1,11.6667,175.0,602,1.0,352,352,1,False,pit,False,279,0,0,1,1
4,1740,24.0,ppo_cnn,2-2,2.8,42.0,692,0.0,236,236,0,False,enemy,False,261,0,0,1,3
5,1770,24.5,ppo_cnn,5-1,6.5333,98.0,30,0.0,160,120,0,False,enemy,False,294,0,0,1,1
6,1923,25.9,ppo_cnn,1-3,12.9333,194.0,153,0.0,281,243,0,False,pit,False,269,0,0,1,4
7,1995,26.7,ppo_cnn,7-3,3.0,45.0,72,0.0,115,75,0,False,pit,False,285,0,0,1,4
8,2454,30.5,ppo_cnn,5-4,10.9333,164.0,459,1.0,312,274,1,False,pit,False,209,0,0,1,4
9,2566,31.6,ppo_cnn,6-4,10.1333,152.0,112,0.0,231,195,0,False,pit,False,277,0,0,1,4
10,2601,32.1,ppo_cnn,7-1,10.8667,163.0,35,0.0,226,188,0,False,enemy,False,393,0,0,1,1
11,3116,36.3,ppo_cnn,4-1,11.0,165.0,515,1.0,323,323,1,False,enemy,False,297,0,0,1,1
12,5118,52.4,ppo_cnn,6-2,-10.9333,-164.0,2002,1.0,291,291,1,False,timeout,False,0,0,0,1,2
13,5221,53.5,ppo_cnn,8-3,5.9333,87.0,103,0.0,162,162,0,False,enemy,False,278,0,200,1,3
14,5342,54.7,ppo_cnn,3-4,16.5333,247.0,121,1.0,327,324,1,False,enemy,False,275,0,0,1,4
15,6667,64.7,ppo_cnn,2-2,-12.6667,-192.0,1325,0.0,129,129,0,False,enemy,False,134,0,0,1,3
16,8684,85.5,ppo_cnn,1-2,32.5,487.5,2017,3.0,851,837,3,False,timeout,False,0,7,5150,1,3
17,8863,86.9,ppo_cnn,1-4,9.0667,136.0,179,0.0,227,227,0,False,pit,False,264,0,0,1,5
18,8910,87.3,ppo_cnn,1-4,10.8667,162.0,47,0.0,227,187,0,False,pit,False,290,0,0,1,5
19,10911,103.1,ppo_cnn,6-2,-10.9333,-164.0,2001,1.0,291,273,1,False,timeout,False,0,0,0,1,2
20,11065,104.3,ppo_cnn,8-3,9.8,146.0,154,0.0,230,230,0,False,enemy,False,269,0,200,1,3
21,11403,107.1,ppo_cnn,2-3,63.8,957.0,338,3.0,1057,1017,3,False,pit,False,233,3,800,1,4
22,11741,109.7,ppo_cnn,2-2,28.8,432.0,338,1.0,547,507,1,False,enemy,False,333,1,200,1,3
23,12238,113.5,ppo_cnn,2-3,63.8,957.0,497,4.0,1077,1037,4,False,pit,False,200,4,1600,1,4
24,12351,114.4,ppo_cnn,2-2,13.7333,206.0,113,0.0,284,244,0,False,enemy,False,377,0,0,1,3
25,12425,115.0,ppo_cnn,1-2,-0.4667,-7.0,74,0.0,62,48,0,False,enemy,False,386,0,0,1,3
26,12595,116.3,ppo_cnn,2-2,19.4667,291.0,170,1.0,381,341,1,False,enemy,False,365,0,0,1,3
27,12662,116.9,ppo_cnn,5-4,16.0667,240.0,67,1.0,311,271,1,False,enemy,False,286,0,0,1,4
28,12687,117.1,ppo_cnn,1-2,6.6667,99.0,25,0.0,163,123,0,False,enemy,False,394,0,0,1,3
29,12745,117.5,ppo_cnn,6-4,10.6,159.0,58,0.0,227,227,0,False,pit,False,288,0,0,1,4
30,12849,118.3,ppo_cnn,1-4,10.2667,154.0,104,0.0,231,192,0,False,pit,False,279,0,0,1,5
31,12976,119.3,ppo_cnn,1-4,9.7333,146.0,127,0.0,227,227,0,False,pit,False,274,0,0,1,5
32,13068,120.0,ppo_cnn,8-1,17.3333,260.0,92,1.0,334,317,1,False,enemy,False,282,0,100,1,1
33,13711,124.9,ppo_cnn,1-1,41.2,618.0,643,2.0,801,764,2,False,enemy,False,271,0,300,1,1
34,13841,125.9,ppo_cnn,1-3,14.0667,211.0,130,1.0,293,293,1,False,pit,False,274,0,0,1,4
35,13936,126.6,ppo_cnn,6-4,10.1333,152.0,95,0.0,226,190,0,False,pit,False,281,0,0,1,4
36,14379,129.9,ppo_cnn,2-3,31.3333,470.0,443,2.0,610,610,2,False,enemy,False,212,0,400,1,4
37,14579,131.4,ppo_cnn,2-2,18.8,282.0,200,1.0,377,337,1,False,enemy,False,360,0,0,1,3
38,16156,144.0,ppo_cnn,6-2,-4.4667,-68.0,1577,1.0,304,264,1,False,enemy,False,84,0,0,1,2
39,16302,145.1,ppo_cnn,2-3,6.4,96.0,146,0.0,180,147,0,False,enemy,False,271,0,0,1,4
40,16580,150.8,ppo_cnn,2-2,56.7333,850.0,278,3.0,961,922,3,False,enemy,False,344,0,0,1,3
41,16634,151.3,ppo_cnn,5-4,21.5333,323.0,54,1.0,391,351,1,False,pit,False,289,0,0,1,4
42,16669,151.6,ppo_cnn,1-2,5.2667,79.0,35,0.0,143,108,0,False,enemy,False,393,0,0,1,3
43,16814,152.7,ppo_cnn,1-4,31.7333,476.0,145,2.0,562,522,2,False,pit,False,271,0,0,1,5
