level,tier,archetype,n,flag_rate,pages_mean,pages_max,x_pos_max_mean,x_pos_max_best,route_progress_mean,return_mean,return_raw_mean,length_mean,warp_rate,distinct_terminal_x,death_mix
1-1,train,ground,30,0.0,7.7,9.0,2151.9666666666667,2595,,123.0977777777785,1846.1,1275.7,0.0,16,enemy=12;timeout=18
1-2,train,underground,30,0.0,5.1,10.0,1488.4666666666667,2675,,85.06888888888922,1288.2333333333333,914.4,0.0,21,enemy=18;timeout=12
1-3,train,athletic,30,0.0,2.0,2.0,772.0,783,,46.74222222222222,700.9,65.1,0.0,6,pit=30
1-4,train,castle,30,0.7333333333333333,7.766666666666667,8.0,2197.0666666666666,2270,,141.06222222222223,2105.2,282.6,0.0,18,enemy=5;flag=22;pit=1;timeout=2
2-1,train,ground,30,0.0,1.2666666666666666,2.0,543.0333333333333,737,,22.33333333333335,334.53333333333336,776.5,0.0,10,enemy=23;timeout=7
2-2,train,underwater,30,0.0,2.7666666666666666,7.0,885.7,1890,,52.559999999999995,788.0333333333333,254.1,0.0,25,enemy=24;pit=6
2-3,train,athletic,30,0.3333333333333333,10.7,13.0,2923.766666666667,3593,,186.9622222222227,2865.9333333333334,624.1,0.0,17,enemy=4;flag=10;pit=7;timeout=9
2-4,tier1,castle,30,0.0,5.466666666666667,8.0,1568.8666666666666,2244,,98.87333333333324,1484.8,148.0,0.0,26,enemy=17;pit=13
3-1,train,ground,30,0.0,4.566666666666666,6.0,1356.4333333333334,1585,,81.96666666666657,1229.1,361.23333333333335,0.0,18,enemy=26;pit=1;timeout=3
3-2,tier1,ground,30,0.0,2.5,3.0,881.5,1020,,54.12888888888885,815.2666666666667,74.33333333333333,0.0,9,enemy=30
3-3,train,athletic,30,0.0,5.066666666666666,7.0,1505.7,1939,,96.8866666666666,1487.8666666666666,139.2,0.0,20,enemy=1;pit=29
3-4,train,castle,30,0.7666666666666667,7.933333333333334,8.0,2226.133333333333,2259,,144.7311111111111,2168.3333333333335,212.6,0.0,8,enemy=6;flag=23;pit=1
