level,tier,archetype,n,flag_rate,pages_mean,pages_max,x_pos_max_mean,x_pos_max_best,route_progress_mean,return_mean,return_raw_mean,length_mean,warp_rate,distinct_terminal_x,death_mix
1-1,train,ground,30,0.1,8.733333333333333,12.0,2387.0,3161,,141.2688888888894,2113.8333333333335,1110.4,0.0,20,enemy=8;flag=3;pit=10;timeout=9
1-2,train,underground,30,0.0,3.966666666666667,8.0,1165.5333333333333,2131,,71.42222222222219,1072.8333333333333,247.26666666666668,0.0,25,enemy=25;pit=4;timeout=1
1-3,train,athletic,30,0.0,2.0,2.0,773.3333333333334,782,,46.76888888888888,701.3,69.66666666666667,0.0,13,pit=30
1-4,train,castle,30,0.4666666666666667,5.1,8.0,1504.3,2270,,96.91777777777772,1432.0,148.96666666666667,0.0,19,enemy=4;flag=14;pit=12
2-1,train,ground,30,0.0,5.2,8.0,1510.7333333333333,2282,,91.8800000000001,1382.6666666666667,419.6333333333333,0.0,27,enemy=21;pit=6;timeout=3
2-2,train,underwater,30,0.0,4.333333333333333,8.0,1297.2333333333333,2208,,80.3333333333334,1204.5333333333333,215.6,0.0,24,enemy=29;pit=1
2-3,train,athletic,30,0.0,6.666666666666667,9.0,1886.7666666666667,2561,,121.0222222222221,1839.2666666666667,172.46666666666667,0.0,24,enemy=5;pit=25
2-4,tier1,castle,30,0.0,2.966666666666667,7.0,955.4666666666667,1832,,58.70222222222217,880.2666666666667,90.6,0.0,24,enemy=11;pit=19
3-1,train,ground,30,0.0,4.433333333333334,8.0,1307.6,2180,,77.83333333333331,1167.6,433.0,0.0,28,enemy=23;pit=6;timeout=1
3-2,tier1,ground,30,0.0,0.06666666666666667,1.0,210.73333333333332,357,,9.89777777777778,148.03333333333333,21.933333333333334,0.0,11,enemy=30
3-3,train,athletic,30,0.0,4.7,7.0,1327.3333333333333,1868,,84.03999999999994,1278.1,124.93333333333334,0.0,26,enemy=4;pit=26
3-4,train,castle,30,0.5,6.266666666666667,8.0,1771.0,2267,,114.61999999999993,1695.5333333333333,166.83333333333334,0.0,20,enemy=9;flag=15;pit=6
4-1,train,ground,30,0.6,12.166666666666666,13.0,3322.133333333333,3593,,212.4822222222229,3161.266666666667,636.0,0.0,10,flag=18;pit=9;timeout=3
4-2,tier1,underground,30,0.0,0.0,0.0,221.4,279,,10.70222222222222,160.2,25.233333333333334,0.0,13,pit=30
4-3,tier1,athletic,30,0.0,1.0,1.0,390.43333333333334,416,,21.71555555555556,325.4,39.666666666666664,0.0,13,enemy=2;pit=28
5-1,train,ground,30,0.03333333333333333,5.233333333333333,12.0,1492.5,3177,,89.29777777777775,1337.3333333333333,503.6333333333333,0.0,27,enemy=14;flag=1;pit=10;timeout=5
5-2,tier1,ground,30,0.0,2.1,7.0,692.4,2057,,40.0155555555555,602.6666666666666,208.96666666666667,0.0,29,enemy=20;pit=10
5-3,tier0,athletic,30,0.0,1.8666666666666667,2.0,689.1666666666666,780,,41.277777777777764,618.8,63.56666666666667,0.0,16,enemy=9;pit=21
5-4,train,castle,30,0.06666666666666667,5.9,8.0,1672.8666666666666,2250,,106.10888888888873,1588.8333333333333,145.8,0.0,23,enemy=14;flag=2;pit=14
6-1,train,ground,30,0.03333333333333333,8.833333333333334,11.0,2441.133333333333,2969,,151.7111111111114,2286.266666666667,596.3333333333334,0.0,24,enemy=13;flag=1;pit=12;timeout=4
6-2,train,ground,30,0.0,2.8333333333333335,7.0,881.1,1840,,52.24222222222219,783.5,214.26666666666668,0.0,19,enemy=29;timeout=1
6-3,tier1,athletic,30,0.0,1.1333333333333333,2.0,504.3666666666667,789,,29.160000000000007,437.0,50.46666666666667,0.0,20,pit=30
6-4,train,castle,30,0.0,4.233333333333333,8.0,1286.9666666666667,2174,,80.19111111111108,1202.5,132.83333333333334,0.0,30,enemy=29;pit=1
7-1,train,ground,30,0.0,1.8,4.0,619.1666666666666,1222,,36.14,542.0666666666667,124.5,0.0,29,enemy=29;pit=1
7-2,tier0,underwater,30,0.0,2.466666666666667,8.0,826.6,2341,,49.9777777777778,749.9333333333333,131.06666666666666,0.0,23,enemy=27;pit=3
7-3,train,athletic,30,0.0,4.4,7.0,1250.8666666666666,1842,,78.89333333333327,1203.1,118.43333333333334,0.0,22,enemy=12;pit=18
8-1,train,ground,30,0.0,3.1333333333333333,13.0,976.6,3606,,54.09111111111113,811.2333333333333,553.5,0.0,16,enemy=20;pit=1;timeout=9
8-2,tier1,ground,30,0.0,1.2333333333333334,5.0,427.9,1447,,23.977777777777764,359.5,63.7,0.0,24,enemy=21;pit=9
8-3,train,ground,30,0.0,4.533333333333333,8.0,1356.1333333333334,2155,,83.39111111111106,1252.1,256.6666666666667,0.0,28,enemy=20;pit=8;timeout=2
SuperMarioBros2-1-1-v0,tier2,lost_levels,30,0.0,2.0,4.0,706.5333333333333,1279,,42.23333333333331,634.2666666666667,130.1,0.0,23,enemy=20;pit=10
SuperMarioBros2-1-3-v0,tier2,lost_levels,30,0.0,1.0,1.0,343.93333333333334,468,,18.666666666666668,280.03333333333336,46.96666666666667,0.0,24,pit=30
SuperMarioBros2-2-1-v0,tier2,lost_levels,30,0.0,2.2333333333333334,5.0,710.4666666666667,1332,,42.259999999999984,633.8333333333334,137.76666666666668,0.0,26,enemy=22;pit=8
SuperMarioBros2-3-1-v0,tier2,lost_levels,30,0.0,1.9666666666666666,3.0,596.6333333333333,889,,35.29999999999999,529.6333333333333,77.4,0.0,22,enemy=11;pit=19
SuperMarioBros2-4-1-v0,tier2,lost_levels,30,0.0,1.8,5.0,683.4666666666667,1349,,40.48222222222223,607.1333333333333,127.16666666666667,0.0,21,enemy=24;pit=6
SuperMarioBros2-4-3-v0,tier2,lost_levels,30,0.0,0.9666666666666667,1.0,372.93333333333334,400,,20.544444444444448,307.8666666666667,44.43333333333333,0.0,21,pit=30
SuperMarioBros2-5-1-v0,tier2,lost_levels,30,0.0,2.0,9.0,691.9,2550,,41.1288888888889,617.1333333333333,163.73333333333332,0.0,27,enemy=26;pit=4
