episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
0,339,9.4,rainbow_cnn_dqn,8-1,9.7333,145.0,339,0.0,263,223,0,False,enemy,False,232,0,600,1,1
1,428,12.4,rainbow_cnn_dqn,1-4,10.2667,154.0,89,0.0,228,188,0,False,pit,False,282,0,0,1,5
2,583,13.9,rainbow_cnn_dqn,3-3,13.2667,199.0,155,0.0,287,247,0,False,pit,False,269,0,0,1,3
3,851,16.4,rainbow_cnn_dqn,6-1,15.0,225.0,268,1.0,335,295,1,False,pit,False,346,0,0,1,1
4,1748,24.3,rainbow_cnn_dqn,2-2,19.0667,286.0,897,1.0,514,474,1,False,enemy,False,220,1,200,1,3
5,1816,25.5,rainbow_cnn_dqn,5-1,-0.2,-3.0,68,0.0,66,26,0,False,enemy,False,286,0,0,1,1
6,2217,29.0,rainbow_cnn_dqn,1-3,9.4667,142.0,401,0.0,279,240,0,False,pit,False,220,0,0,1,4
7,2354,30.4,rainbow_cnn_dqn,7-3,2.1333,32.0,137,0.0,116,76,0,False,pit,False,272,0,0,1,4
8,2514,32.0,rainbow_cnn_dqn,5-4,14.2,213.0,160,1.0,301,261,1,False,pit,False,268,0,0,1,4
9,2654,33.4,rainbow_cnn_dqn,6-4,9.6,144.0,140,0.0,227,187,0,False,pit,False,272,0,0,1,4
10,3211,38.3,rainbow_cnn_dqn,7-1,8.4,125.0,557,0.0,290,252,0,False,enemy,False,288,0,200,1,1
11,3724,43.2,rainbow_cnn_dqn,4-1,10.9333,164.0,513,1.0,322,282,1,False,enemy,False,297,0,0,1,1
12,5726,60.9,rainbow_cnn_dqn,6-2,-10.9333,-164.0,2002,0.0,291,251,0,False,timeout,False,0,0,0,1,2
13,5997,63.7,rainbow_cnn_dqn,8-3,12.3333,184.0,271,0.0,292,252,0,False,enemy,False,245,0,200,1,3
14,6231,65.9,rainbow_cnn_dqn,3-4,10.2667,154.0,234,0.0,256,216,0,False,enemy,False,253,0,0,1,4
15,6966,72.2,rainbow_cnn_dqn,2-2,21.4,319.0,735,1.0,515,475,1,False,enemy,False,252,1,200,1,3
16,7028,73.3,rainbow_cnn_dqn,1-2,0.6667,10.0,62,0.0,77,37,0,False,enemy,False,388,0,0,1,3
17,7257,75.2,rainbow_cnn_dqn,1-4,8.4667,127.0,229,0.0,228,188,0,False,pit,False,254,0,0,1,5
18,7501,77.3,rainbow_cnn_dqn,1-4,8.2667,122.0,244,0.0,227,190,0,False,pit,False,250,0,0,1,5
19,9502,94.9,rainbow_cnn_dqn,6-2,-11.0,-165.0,2001,0.0,290,250,0,False,timeout,False,0,0,0,1,2
20,9704,97.0,rainbow_cnn_dqn,8-3,7.4,110.0,202,0.0,205,165,0,False,enemy,False,259,0,200,1,3
21,9837,98.3,rainbow_cnn_dqn,2-3,2.3333,35.0,133,0.0,117,77,0,False,pit,False,274,0,0,1,4
22,10508,104.0,rainbow_cnn_dqn,2-2,21.7333,326.0,671,1.0,515,475,1,False,enemy,False,266,0,0,1,3
