2026-09-04_20-52-32: Training starting...
Device: cuda
2026-09-04_20-52-41 Episode 0: New best reward 9.73, training model saved.
2026-09-04_20-52-43 Episode 0: New best greedy reward -2.13, model saved.
2026-09-04_20-52-44 Episode 1: New best reward 10.27, training model saved.
2026-09-04_20-52-46 Episode 2: New best reward 13.27, training model saved.
2026-09-04_20-52-48 Episode 3: New best reward 15.00, training model saved.
2026-09-04_20-52-56 Episode 4: New best reward 19.07, training model saved.
2026-09-04_20-53-44 Episode 15: New best reward 21.40, training model saved.
2026-09-04_20-54-16 Episode 22: New best reward 21.73, training model saved.
2026-09-04_20-55-26 Episode 40: New best reward 22.73, training model saved.
2026-09-04_20-55-35 Episode 46: New best reward 25.13, training model saved.
2026-09-04_20-55-45 Episode 50: New best reward 29.13, training model saved.
2026-09-04_21-10-07 Episode 124: New best reward 38.93, training model saved.
2026-09-04_21-11-59 Episode 145: New best reward 55.00, training model saved.
2026-09-04_21-13-22 Episode 184: New best reward 68.20, training model saved.
2026-09-04_21-30-43 Episode 464: New best reward 76.53, training model saved.
2026-09-04_21-30-56 Episode 472: New best reward 112.13, training model saved.
2026-09-04_21-39-19 Episode 746: New best reward 128.07, training model saved.
2026-09-04_21-47-42 Episode 1000: New best greedy reward 19.40, model saved.
2026-09-04_21-50-12 Episode 1091: New best reward 145.60, training model saved.
2026-09-04_22-12-12 Episode 2000: New best greedy reward 34.60, model saved.
2026-09-04_22-16-44 Episode 2193: New best reward 156.80, training model saved.
2026-09-04_22-17-12 Episode 2208: New best reward 170.20, training model saved.
2026-09-04_22-19-24 Episode 2302: New best reward 170.40, training model saved.
2026-09-04_22-38-05 Episode 3058: New best reward 170.60, training model saved.
2026-09-04_22-41-26 Episode 3179: New best reward 171.00, training model saved.
2026-09-04_22-50-35 Episode 3523: New best reward 179.40, training model saved.
2026-09-04_23-02-10 Episode 3849: New best reward 181.93, training model saved.
2026-09-04_23-06-58 Episode 3993: New best reward 192.93, training model saved.
2026-09-04_23-07-14 Episode 4000: New best greedy reward 35.33, model saved.
2026-09-04_23-38-07 Episode 4881: New best reward 230.80, training model saved.
2026-09-05_00-53-46 Episode 7000: New best greedy reward 68.00, model saved.
2026-09-05_02-07-42 Episode 9000: New best greedy reward 94.27, model saved.
2026-09-05_03-02-25 Episode 10523: New best reward 232.93, training model saved.
2026-09-05_03-03-42 Episode 10564: New best reward 235.60, training model saved.
2026-09-05_03-59-06 Episode 12000: New best greedy reward 103.73, model saved.
2026-09-05_05-15-06 Episode 14000: New best greedy reward 188.87, model saved.
2026-09-05_06-45-53 Episode 16309: New best reward 235.67, training model saved.
2026-09-05_06-51-58 Episode 16471: New best reward 235.80, training model saved.
2026-09-05_07-11-25 Episode 17000: New best greedy reward 229.80, model saved.
2026-09-05_08-25-02 Episode 18792: New best reward 235.93, training model saved.
2026-09-05_12-21-31 Episode 24000: New best greedy reward 234.47, model saved.
