2026-09-05_20-54-50: Training starting...
Device: cuda
2026-09-05_20-55-00 Episode 0: New best reward 9.73, training model saved.
2026-09-05_20-55-03 Episode 0: New best greedy reward -2.13, model saved.
2026-09-05_20-55-05 Episode 1: New best reward 10.27, training model saved.
2026-09-05_20-55-06 Episode 2: New best reward 13.27, training model saved.
2026-09-05_20-55-09 Episode 3: New best reward 15.00, training model saved.
2026-09-05_20-55-17 Episode 4: New best reward 19.07, training model saved.
2026-09-05_20-56-05 Episode 15: New best reward 21.40, training model saved.
2026-09-05_20-56-38 Episode 22: New best reward 21.73, training model saved.
2026-09-05_20-57-51 Episode 40: New best reward 22.73, training model saved.
2026-09-05_20-58-00 Episode 46: New best reward 25.13, training model saved.
2026-09-05_21-08-15 Episode 100: New best reward 28.13, training model saved.
2026-09-05_21-10-13 Episode 114: New best reward 36.07, training model saved.
2026-09-05_21-16-01 Episode 149: New best reward 36.40, training model saved.
2026-09-05_21-17-09 Episode 166: New best reward 51.67, training model saved.
2026-09-05_21-23-21 Episode 224: New best reward 70.33, training model saved.
2026-09-05_21-30-10 Episode 409: New best reward 77.93, training model saved.
2026-09-05_21-41-46 Episode 609: New best reward 114.80, training model saved.
2026-09-05_21-47-48 Episode 751: New best reward 117.53, training model saved.
2026-09-05_21-56-05 Episode 1000: New best greedy reward 19.67, model saved.
2026-09-05_21-57-42 Episode 1049: New best reward 135.07, training model saved.
2026-09-05_22-38-29 Episode 2183: New best reward 154.93, training model saved.
2026-09-05_22-52-12 Episode 2529: New best reward 182.73, training model saved.
2026-09-05_23-29-07 Episode 3725: New best reward 191.60, training model saved.
2026-09-05_23-37-07 Episode 3927: New best reward 217.20, training model saved.
2026-09-05_23-40-14 Episode 4000: New best greedy reward 23.40, model saved.
2026-09-05_23-45-43 Episode 4154: New best reward 232.13, training model saved.
2026-09-06_01-12-53 Episode 6819: New best reward 233.60, training model saved.
2026-09-06_01-18-28 Episode 7000: New best greedy reward 85.60, model saved.
2026-09-06_01-31-33 Episode 7411: New best reward 233.93, training model saved.
2026-09-06_01-51-54 Episode 8000: New best greedy reward 111.93, model saved.
2026-09-06_03-25-03 Episode 10535: New best reward 234.00, training model saved.
2026-09-06_03-28-35 Episode 10617: New best reward 234.73, training model saved.
2026-09-06_07-26-40 Episode 16277: New best reward 235.00, training model saved.
2026-09-06_07-59-17 Episode 17000: New best greedy reward 193.07, model saved.
2026-09-06_13-54-33 Episode 24000: New best greedy reward 193.53, model saved.
2026-09-06_14-21-02 Episode 24486: New best reward 235.13, training model saved.
